Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
1218931600071545, 1218931600072379, 1218931600181841, 1218931600196803, 1218931600251581, 1218931609056428, 8192
1218932009652181, 1218932009652940, 1218932009774180, 1218932009796902, 1218932009873882, 1218932024480944, 8191
1218932419918976, 1218932419919828, 1218932420033789, 1218932420056548, 1218932420130733, 1218932424049856, 8192
1218932829470390, 1218932829471112, 1218932829570037, 1218932829590888, 1218932829642481, 1218932833506197, 8191
1218933239070729, 1218933239071433, 1218933239163376, 1218933239182839, 1218933239234709, 1218933243108740, 8192
1218933648047298, 1218933648049353, 1218933648206907, 1218933648266295, 1218933648364979, 1218933659534171, 8191
1218934059837409, 1218934059839613, 1218934060123369, 1218934060188461, 1218934060288497, 1218934074682023, 8192
1218934467167107, 1218934467169181, 1218934467318698, 1218934467378938, 1218934467475029, 1218934478615722, 8191
1218934886753411, 1218934886755633, 1218934886894742, 1218934886952908, 1218934887045278, 1218934920444650, 8192
1218935288178840, 1218935288180877, 1218935288397782, 1218935288462170, 1218935288567762, 1218935305752924, 8191
1218935700254467, 1218935700256634, 1218935700447391, 1218935700520575, 1218935700621723, 1218935728316880, 8192
1218936105547725, 1218936105549725, 1218936105729001, 1218936105791315, 1218936105893314, 1218936125664133, 8191
1218936515131565, 1218936515133565, 1218936515288304, 1218936515347025, 1218936515444506, 1218936528733452, 8192
1218936924583758, 1218936924584573, 1218936924685331, 1218936924705405, 1218936924755015, 1218936929244244, 8191
1218937334190468, 1218937334191153, 1218937334295689, 1218937334324355, 1218937334365855, 1218937338681604, 8192
1218937743737420, 1218937743738216, 1218937743841956, 1218937743862641, 1218937743904029, 1218937748248351, 8191
1218938153332593, 1218938153333389, 1218938153408666, 1218938153428277, 1218938153483702, 1218938158960735, 8192
1218938564359695, 1218938564361676, 1218938564554693, 1218938564611581, 1218938564709617, 1218938577979823, 8191
1218938972586458, 1218938972588365, 1218938972727623, 1218938972786400, 1218938972882991, 1218938985992773, 8192
1218939382111669, 1218939382113558, 1218939382253686, 1218939382307685, 1218939382401536, 1218939395221506, 8191
1218939791709398, 1218939791711361, 1218939791871730, 1218939791930951, 1218939792144745, 1218939803035014, 8192
1218940201259146, 1218940201261239, 1218940201401385, 1218940201463218, 1218940201561365, 1218940212602558, 8191
1218940610839172, 1218940610840987, 1218940610982633, 1218940611040373, 1218940611142539, 1218940622167306, 8192
1218941020371791, 1218941020373772, 1218941020528307, 1218941020587677, 1218941020687491, 1218941031691981, 8191
1218941429971983, 1218941429973983, 1218941430121407, 1218941430180647, 1218941430279776, 1218941441289673, 8192
1218941839457547, 1218941839458399, 1218941839540749, 1218941839560490, 1218941839611508, 1218941843377855, 8191
1218942249034387, 1218942249035221, 1218942249119701, 1218942249139479, 1218942249191756, 1218942253383210, 8192
1218942659306869, 1218942659307554, 1218942659401905, 1218942659421793, 1218942659474052, 1218942663248844, 8191
1218943069526499, 1218943069527351, 1218943069639720, 1218943069659719, 1218943069701349, 1218943073950450, 8192
1218943480066718, 1218943480068847, 1218943480232457, 1218943480290734, 1218943480385214, 1218943494900962, 8191
