Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
2486596518824262, 2486596518826892, 2486596518997539, 2486596519041594, 2486596519177870, 2486596596628510, 8192
2486596596944210, 2486596596946451, 2486596597036672, 2486596597089523, 2486596597240966, 2486596664873891, 8191
2486597337999537, 2486597338002000, 2486597338208331, 2486597338269034, 2486597338426366, 2486597396618016, 8192
2486598157008535, 2486598157010849, 2486598157208736, 2486598157267088, 2486598157372309, 2486598220466649, 8191
2486599793775504, 2486599793776264, 2486599793868281, 2486599793887374, 2486599793928225, 2486599852302391, 8192
2486599852421372, 2486599852422057, 2486599852447890, 2486599852467223, 2486599852519111, 2486599913577102, 8191
2486601434342859, 2486601434345007, 2486601434531765, 2486601434591060, 2486601434746725, 2486601492855024, 8192
2486601493122966, 2486601493125132, 2486601493199317, 2486601493320390, 2486601493578443, 2486601556546396, 8191
2486603074148997, 2486603074150905, 2486603074325644, 2486603074383606, 2486603074524068, 2486603132692940, 8192
2486603132977381, 2486603132980029, 2486603133070010, 2486603133158509, 2486603133458821, 2486603194251388, 8191
2486603890976088, 2486603890978125, 2486603891173919, 2486603891231363, 2486603891332010, 2486603949275847, 8192
2486604710091858, 2486604710093858, 2486604710276930, 2486604710333467, 2486604710432966, 2486604771505012, 8191
2486606350499783, 2486606350501671, 2486606350683929, 2486606350741243, 2486606352133951, 2486606473768826, 16383
2486607166182216, 2486607166182901, 2486607166274770, 2486607166293937, 2486607166336511, 2486607224347440, 8192
2486608807863698, 2486608807865606, 2486608808071122, 2486608808128048, 2486608808680783, 2486608928535898, 16383
2486610446199824, 2486610446201676, 2486610446373822, 2486610446432155, 2486610446945094, 2486610568305064, 16383
2486612081054760, 2486612081055464, 2486612081156908, 2486612081176407, 2486612081241721, 2486612138850673, 8192
2486612138985357, 2486612138986171, 2486612139011523, 2486612139038541, 2486612139099930, 2486612201567887, 8191
2486612901694436, 2486612901696418, 2486612901870879, 2486612901928730, 2486612902072229, 2486612960633096, 8192
2486613720785145, 2486613720787071, 2486613720971088, 2486613721029402, 2486613721177641, 2486613783634210, 8191
2486614539941391, 2486614539943354, 2486614540142166, 2486614540219740, 2486614540345905, 2486614598818922, 8192
2486615359032192, 2486615359034118, 2486615359215690, 2486615359273634, 2486615359389762, 2486615421863331, 8191
2486616176846412, 2486616176847116, 2486616176946374, 2486616176966189, 2486616177031892, 2486616235349873, 8192
2486616997366939, 2486616997368809, 2486616997547974, 2486616997606955, 2486616997751379, 2486617060405020, 8191
2486617816576589, 2486617816578441, 2486617816739994, 2486617816798198, 2486617816912122, 2486617874773052, 8192
2486618635638444, 2486618635640351, 2486618635818516, 2486618635876867, 2486618635994903, 2486618701894770, 8191
2486619454923740, 2486619454925666, 2486619455101757, 2486619455158867, 2486619455301921, 2486619513759845, 8192
2486620274002723, 2486620274004667, 2486620274187740, 2486620274244350, 2486620274386645, 2486620335324192, 8191
2486621093190427, 2486621093192186, 2486621093348740, 2486621093424869, 2486621093516479, 2486621152209549, 8192
2486621912299705, 2486621912301724, 2486621912478222, 2486621912537573, 2486621912679609, 2486621975182732, 8191
2486622731447705, 2486622731449630, 2486622731633147, 2486622731690221, 2486622731808664, 2486622789633557, 8192
2486623549144033, 2486623549144737, 2486623549243884, 2486623549263791, 2486623549325309, 2486623611668564, 8191
2486624370077180, 2486624370079217, 2486624370248049, 2486624370328844, 2486624370445436, 2486624428186496, 8192
2486625188889533, 2486625188891385, 2486625189054809, 2486625189111698, 2486625189246715, 2486625251645432, 8191
2486626008157085, 2486626008159011, 2486626008344380, 2486626008403286, 2486626008543026, 2486626079231917, 8192
2486626827168658, 2486626827170787, 2486626827338656, 2486626827415211, 2486626827504728, 2486626890037647, 8191
2486627644944427, 2486627644945150, 2486627645045889, 2486627645066389, 2486627645129370, 2486627703117150, 8192
2486628464051516, 2486628464052239, 2486628464152219, 2486628464172163, 2486628464232718, 2486628526211847, 8191
2486629284699330, 2486629284701274, 2486629284877661, 2486629284935716, 2486629285075493, 2486629342647092, 8192
2486630103743196, 2486630103745048, 2486630103915731, 2486630103974861, 2486630104156544, 2486630166541705, 8191
2486630926081584, 2486630926083529, 2486630926285564, 2486630926376396, 2486630926488950, 2486630984816060, 8192
2486631742176665, 2486631742178628, 2486631742358255, 2486631742416477, 2486631742531994, 2486631805018266, 8191
2486632559855784, 2486632559856488, 2486632559957043, 2486632559977042, 2486632560055986, 2486632617926563, 8192
2486634200068565, 2486634200070880, 2486634200247285, 2486634200305840, 2486634200449117, 2486634257926994, 8192
