Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
1989875519136619, 1989875519137397, 1989875519220155, 1989875519235043, 1989875519801629, 1989875639659606, 16383
1989878246864199, 1989878246865088, 1989878246980031, 1989878247000587, 1989878247046697, 1989878289148798, 8192
1989878289244982, 1989878289245834, 1989878289269723, 1989878289288982, 1989878289337907, 1989878345365148, 8191
1989880979312609, 1989880979315035, 1989880979510792, 1989880979569069, 1989880979665846, 1989881105202363, 8192
1989881105414934, 1989881105417452, 1989881105509951, 1989881105579747, 1989881105728634, 1989881234444111, 8191
1989882342646221, 1989882342647109, 1989882342718571, 1989882342737553, 1989882342777534, 1989882382143021, 8192
1989883707790272, 1989883707790902, 1989883707894030, 1989883707913882, 1989883707954900, 1989883747024539, 8191
1989885074527970, 1989885074529988, 1989885074703153, 1989885074762226, 1989885074855799, 1989885191163525, 8192
1989886439727983, 1989886439730113, 1989886439908203, 1989886439965147, 1989886440120015, 1989886556300039, 8191
1989889168788915, 1989889168789767, 1989889168889729, 1989889168909895, 1989889168952006, 1989889207708297, 8192
1989889207787241, 1989889207788130, 1989889207808129, 1989889207826388, 1989889207863943, 1989889246553328, 8191
1989891899288014, 1989891899288773, 1989891899389883, 1989891899409883, 1989891899451660, 1989891938421560, 8192
1989891938509188, 1989891938510096, 1989891938536207, 1989891938555021, 1989891938594206, 1989891980560661, 8191
1989894629831889, 1989894629832889, 1989894629930740, 1989894629949851, 1989894629993739, 1989894668780363, 8192
1989894668874529, 1989894668875695, 1989894668901103, 1989894668919843, 1989894668957435, 1989894707670764, 8191
1989897360326727, 1989897360327616, 1989897360426578, 1989897360445967, 1989897360490207, 1989897399242961, 8192
1989897399323794, 1989897399324497, 1989897399341849, 1989897399359775, 1989897399406681, 1989897438217028, 8191
1989900090796751, 1989900090797510, 1989900090895879, 1989900090916027, 1989900090959082, 1989900129744632, 8192
1989900129833613, 1989900129834409, 1989900129856075, 1989900129873686, 1989900129916019, 1989900168624811, 8191
1989902821285292, 1989902821286051, 1989902821387161, 1989902821406494, 1989902821451697, 1989902860446059, 8192
1989902860543206, 1989902860544002, 1989902860568928, 1989902860587761, 1989902860632168, 1989902900576852, 8191
1989905551801591, 1989905551802350, 1989905551905052, 1989905551924497, 1989905551967441, 1989905590737954, 8192
1989905590823008, 1989905590824008, 1989905590845675, 1989905590863619, 1989905590904044, 1989905629579892, 8191
1989908282287094, 1989908282287853, 1989908282390166, 1989908282408740, 1989908282453221, 1989908321289030, 8192
1989908321395732, 1989908321396566, 1989908321422362, 1989908321441898, 1989908321487639, 1989908361058086, 8191
1989911014220763, 1989911014222781, 1989911014387909, 1989911014446297, 1989911014534796, 1989911132700794, 8192
1989911132899125, 1989911132901366, 1989911132964476, 1989911133020105, 1989911133108548, 1989911249226424, 8191
1989912378133882, 1989912378134660, 1989912378210418, 1989912378229437, 1989912378264769, 1989912417028894, 8192
1989913743301301, 1989913743301949, 1989913743407781, 1989913743426947, 1989913743465724, 1989913782256663, 8191
1989916476080273, 1989916476082365, 1989916476266289, 1989916476325177, 1989916476414491, 1989916592682235, 8192
1989916592900306, 1989916592902566, 1989916592966176, 1989916593020786, 1989916593114174, 1989916710903732, 8191
1989917839122754, 1989917839123773, 1989917839212438, 1989917839231494, 1989917839267604, 1989917879158418, 8192
1989919204327190, 1989919204327968, 1989919204419004, 1989919204438041, 1989919204472300, 1989919243250368, 8191
1989920569642939, 1989920569643736, 1989920569725235, 1989920569745012, 1989920569781678, 1989920608598358, 8192
1989921934779542, 1989921934780135, 1989921934872652, 1989921934891893, 1989921934927911, 1989921973695980, 8191
1989923300177809, 1989923300178587, 1989923300298400, 1989923300316863, 1989923300359103, 1989923339155282, 8192
1989924665283782, 1989924665284523, 1989924665373929, 1989924665393318, 1989924665427966, 1989924704180998, 8191
1989926030614827, 1989926030615568, 1989926030714511, 1989926030733640, 1989926030769640, 1989926069641226, 8192
1989927395778262, 1989927395778985, 1989927395873317, 1989927395891780, 1989927395926872, 1989927434677478, 8191
1989928761125936, 1989928761126640, 1989928761229509, 1989928761248861, 1989928761284916, 1989928800050355, 8192
1989930126300168, 1989930126300945, 1989930126398037, 1989930126417388, 1989930126453832, 1989930165219994, 8191
1989931491610064, 1989931491610805, 1989931491712563, 1989931491731303, 1989931491764766, 1989931530543297, 8192
1989932856778962, 1989932856779758, 1989932856879016, 1989932856897590, 1989932856932682, 1989932897056641, 8191
1989934222111598, 1989934222112320, 1989934222213430, 1989934222232504, 1989934222266707, 1989934261047368, 8192
1989935587282588, 1989935587283329, 1989935587384105, 1989935587402716, 1989935587438123, 1989935626185118, 8191
1989936952635687, 1989936952636409, 1989936952737186, 1989936952756389, 1989936952792315, 1989936991541013, 8192
1989938317778029, 1989938317778751, 1989938317878824, 1989938317898361, 1989938317932971, 1989938357706657, 8191
1989939683115813, 1989939683116387, 1989939683208923, 1989939683227885, 1989939683261015, 1989939722192304, 8192
1989941048303117, 1989941048303710, 1989941048404764, 1989941048423504, 1989941048458319, 1989941087287294, 8191
1989942413614494, 1989942413615068, 1989942413694530, 1989942413713344, 1989942413747770, 1989942452530227, 8192
1989943778783427, 1989943778784168, 1989943778871426, 1989943778890704, 1989943778925574, 1989943818460022, 8191
1989945144138914, 1989945144139636, 1989945144235709, 1989945144255079, 1989945144291190, 1989945183062333, 8192
1989946509278811, 1989946509279515, 1989946509381532, 1989946509400513, 1989946509435809, 1989946548462652, 8191
1989947874608020, 1989947874608761, 1989947874692482, 1989947874711352, 1989947874747037, 1989947915031994, 8192
1989949239775490, 1989949239776212, 1989949239875063, 1989949239894155, 1989949239928044, 1989949278699001, 8191
1989950605114977, 1989950605115736, 1989950605217086, 1989950605236308, 1989950605271438, 1989950644034043, 8192
1989951970275798, 1989951970276521, 1989951970375482, 1989951970394797, 1989951970429056, 1989952009209476, 8191
1989953335608192, 1989953335608933, 1989953335707857, 1989953335727079, 1989953335762635, 1989953374542222, 8192
1989954700779606, 1989954700780199, 1989954700873679, 1989954700892123, 1989954700927234, 1989954740757252, 8191
1989956066109666, 1989956066110407, 1989956066204350, 1989956066223146, 1989956066260090, 1989956105083510, 8192
1989957431277321, 1989957431278061, 1989957431378819, 1989957431398041, 1989957431431374, 1989957470192517, 8191
1989958796618214, 1989958796619029, 1989958796719305, 1989958796738397, 1989958796773860, 1989958835519188, 8192
1989960161778590, 1989960161779350, 1989960161867089, 1989960161886089, 1989960161920033, 1989960200681454, 8191
1989961527107946, 1989961527108705, 1989961527211074, 1989961527231000, 1989961527268055, 1989961566042291, 8192
1989962892282822, 1989962892283563, 1989962892384025, 1989962892403173, 1989962892437746, 1989962931742864, 8191
1989964257613178, 1989964257613900, 1989964257713325, 1989964257732417, 1989964257768565, 1989964296526134, 8192
1989965622775887, 1989965622776609, 1989965622876738, 1989965622895830, 1989965622931941, 1989965661703491, 8191
