Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
2331779681242768, 2331779681243694, 2331779681326156, 2331779681341897, 2331779681399730, 2331779772449608, 8192
2331779772752217, 2331779772753161, 2331779772810938, 2331779772830290, 2331779772927456, 2331779874593946, 8191
2331781312311652, 2331781312313670, 2331781312477039, 2331781312534316, 2331781312658019, 2331781646429816, 8192
2331781646617851, 2331781646619888, 2331781646693832, 2331781646752128, 2331781646849053, 2331781740542057, 8191
2331782950514252, 2331782950516326, 2331782950703250, 2331782950760009, 2331782950854897, 2331783035851235, 8192
2331783036119900, 2331783036121992, 2331783036196010, 2331783036256176, 2331783036357935, 2331783132625509, 8191
2331784588053079, 2331784588053913, 2331784588157116, 2331784588177338, 2331784588843813, 2331784754877062, 16383
2331786229082581, 2331786229084544, 2331786229286561, 2331786229345523, 2331786229450152, 2331786314058012, 8192
2331786314346917, 2331786314349102, 2331786314433398, 2331786314488916, 2331786314590859, 2331786409963497, 8191
2331787046307304, 2331787046309341, 2331787046495210, 2331787046552339, 2331787046649987, 2331787131897823, 8192
2331788686698756, 2331788686700737, 2331788686895032, 2331788686952180, 2331788687858505, 2331788854907671, 16383
2331790321452219, 2331790321452904, 2331790321554811, 2331790321574255, 2331790321614718, 2331790403897728, 8192
2331790404115930, 2331790404116504, 2331790404145374, 2331790404163800, 2331790404213355, 2331790497233235, 8191
2331791963230474, 2331791963232344, 2331791963412750, 2331791963469398, 2331791964304057, 2331792132131475, 16383
2331793600068252, 2331793600070234, 2331793600254566, 2331793600311084, 2331793600410472, 2331793684359615, 8192
2331793684811426, 2331793684813260, 2331793684881518, 2331793684934462, 2331793685028443, 2331793778352802, 8191
2331794417252828, 2331794417253532, 2331794417354883, 2331794417373994, 2331794417414568, 2331794499629671, 8192
2331796060111925, 2331796060113925, 2331796060300850, 2331796060356609, 2331796060446774, 2331796147098543, 8192
2331796147380633, 2331796147382763, 2331796147454521, 2331796147536817, 2331796147837888, 2331796241056637, 8191
2331796876572989, 2331796876574952, 2331796876749043, 2331796876806802, 2331796876962745, 2331796959823880, 8192
2331798516104782, 2331798516106671, 2331798516289780, 2331798516348169, 2331798516505482, 2331798807259040, 8192
2331798807999089, 2331798808020774, 2331798808097940, 2331798808476492, 2331798808655824, 2331798902769676, 8191
2331799332282941, 2331799332283626, 2331799332383310, 2331799332402958, 2331799332470495, 2331799414375045, 8192
2331800973365202, 2331800973366016, 2331800973472071, 2331800973492052, 2331800980160254, 2331801152249524, 16383
2331802612402406, 2331802612404406, 2331802612583478, 2331802612641145, 2331802613401934, 2331802781241389, 16383
2331803429488668, 2331803429490520, 2331803429667018, 2331803429723703, 2331803429818313, 2331803513750772, 8192
2331804248618116, 2331804248620153, 2331804248804522, 2331804248860725, 2331804248960725, 2331804342986652, 8191
2331805068744760, 2331805068745482, 2331805068836185, 2331805068857018, 2331805068921906, 2331805151240194, 8192
2331805885444396, 2331805885445136, 2331805885541228, 2331805885560950, 2331805885623524, 2331805979391416, 8191
2331806706097942, 2331806706099923, 2331806706272718, 2331806706329551, 2331806706485105, 2331806789174056, 8192
2331807528069569, 2331807528071699, 2331807528273419, 2331807528330623, 2331807528418326, 2331807626320812, 8191
2331808344421227, 2331808344423171, 2331808344600114, 2331808344656743, 2331808344808798, 2331808437374904, 8192
2331809166608945, 2331809166611019, 2331809166799666, 2331809166859758, 2331809167012182, 2331809261104775, 8191
2331809981245840, 2331809981246525, 2331809981337061, 2331809981356579, 2331809981417968, 2331810063314241, 8192
2331810800363270, 2331810800363936, 2331810800461732, 2331810800482046, 2331810800548731, 2331810894349197, 8191
2331811621026631, 2331811621028631, 2331811621206277, 2331811621266869, 2331811621414812, 2331811704183930, 8192
2331812442231320, 2331812442233580, 2331812442425615, 2331812442484892, 2331812442586262, 2331812536711095, 8191
2331813259367064, 2331813259369119, 2331813259549081, 2331813259629858, 2331813259758449, 2331813342326957, 8192
2331814896943892, 2331814896944578, 2331814897046540, 2331814897066947, 2331814897304797, 2331815061431265, 16383
2331816537911451, 2331816537913303, 2331816538079894, 2331816538137708, 2331816538867461, 2331816709852297, 16383
2331818174587158, 2331818174589269, 2331818174764731, 2331818174847971, 2331818174977970, 2331818258261786, 8192
2331818258874373, 2331818258876355, 2331818258944447, 2331818259017465, 2331818259140593, 2331818351826921, 8191
2331818993493960, 2331818993495942, 2331818993676681, 2331818993735384, 2331818993882068, 2331819077579011, 8192
2331820630982161, 2331820630982864, 2331820631084511, 2331820631104530, 2331820631341583, 2331820795184943, 16383
2331822271997812, 2331822271999830, 2331822272194458, 2331822272252087, 2331822272998062, 2331822436980495, 16383
2331823910315931, 2331823910317801, 2331823910499688, 2331823910559021, 2331823911316848, 2331824075948608, 16383
2331825545826389, 2331825545827074, 2331825545927721, 2331825545947813, 2331825546183515, 2331825711690527, 16383
2331827186880391, 2331827186882336, 2331827187062705, 2331827187143278, 2331827187858050, 2331827352453366, 16383
2331828824069168, 2331828824071039, 2331828824253241, 2331828824311314, 2331828824461239, 2331828906969562, 8192
2331828908963600, 2331828908965656, 2331828909105155, 2331828909199524, 2331828909313634, 2331829001892315, 8191
2331829641243912, 2331829641244745, 2331829641344541, 2331829641364577, 2331829641432429, 2331829725096075, 8192
2331831282732115, 2331831282734115, 2331831282909780, 2331831282968224, 2331831283714588, 2331831448858566, 16383
2331832920149353, 2331832920151149, 2331832920330629, 2331832920390295, 2331832920545738, 2331833003566631, 8192
2331833004452197, 2331833004454031, 2331833004557937, 2331833004626714, 2331833004752732, 2331833097482892, 8191
2331833738215311, 2331833738217033, 2331833738379772, 2331833738437161, 2331833738584993, 2331833821522312, 8192
2331835375706974, 2331835375707697, 2331835375794474, 2331835375813696, 2331835376095527, 2331835539958849, 16383
2331837019727933, 2331837019729989, 2331837019918969, 2331837019977320, 2331837020807406, 2331837102735123, 8192
2331837103358673, 2331837103360673, 2331837103430246, 2331837103514023, 2331837103635744, 2331837194493680, 8191
2331837834135627, 2331837834137442, 2331837834304181, 2331837834361699, 2331837834507716, 2331837917393906, 8192
2331839473602477, 2331839473604348, 2331839473784568, 2331839473844679, 2331839473999566, 2331839556575796, 8192
2331839556797331, 2331839556797924, 2331839556827609, 2331839556854535, 2331839556922256, 2331839647442232, 8191
2331840290092319, 2331840290093153, 2331840290183781, 2331840290203559, 2331840290266096, 2331840370934823, 8192
2331841931863557, 2331841931865502, 2331841932062741, 2331841932123166, 2331841932848715, 2331842097372273, 16383
2331843570061308, 2331843570063252, 2331843570240862, 2331843570299102, 2331843571046336, 2331843736034057, 16383
2331845205623155, 2331845205623933, 2331845205718191, 2331845205737913, 2331845205976874, 2331845368610578, 16383
2331846846730010, 2331846846732195, 2331846846902675, 2331846846961008, 2331846847690113, 2331847015400643, 16383
2331848484074990, 2331848484076879, 2331848484253229, 2331848484311617, 2331848484458820, 2331848567581008, 8192
2331848572285078, 2331848572287060, 2331848572470410, 2331848572570391, 2331848572678649, 2331848667596032, 8191
2331849302233207, 2331849302235133, 2331849302413575, 2331849302472093, 2331849302619148, 2331849385969075, 8192
2331850939713371, 2331850939714056, 2331850939815314, 2331850939835592, 2331850940119627, 2331851103152012, 16383
2331852580069418, 2331852580071381, 2331852580244935, 2331852580303897, 2331852580448544, 2331852662967237, 8192
2331852663571973, 2331852663574066, 2331852663644065, 2331852663718805, 2331852663852193, 2331852758440448, 8191
2331853398073525, 2331853398075377, 2331853398259653, 2331853398319134, 2331853398468392, 2331853481288768, 8192
2331855035524097, 2331855035524912, 2331855035624670, 2331855035644614, 2331855035878242, 2331855196873608, 16383
2331856676390380, 2331856676392325, 2331856676575916, 2331856676634211, 2331856676786340, 2331856758521095, 8192
2331856759045869, 2331856759047980, 2331856759145738, 2331856759237311, 2331856759388940, 2331856850654706, 8191
2331857493887955, 2331857493889936, 2331857494056601, 2331857494113638, 2331857494254026, 2331857576316297, 8192
2331859134183947, 2331859134185780, 2331859134366315, 2331859134424500, 2331859135191068, 2331859299718848, 16383
2331860769621444, 2331860769622129, 2331860769720202, 2331860769740517, 2331860769982922, 2331860935097327, 16383
2331862410713225, 2331862410715318, 2331862410885465, 2331862410943909, 2331862411716309, 2331862576262811, 16383
2331864048077947, 2331864048079965, 2331864048259649, 2331864048317667, 2331864048468869, 2331864131729778, 8192
2331864132362958, 2331864132364977, 2331864132437846, 2331864132514290, 2331864132636234, 2331864227203045, 8191
2331864864835917, 2331864864836768, 2331864864909694, 2331864864929434, 2331864864986286, 2331864946792411, 8192
2331866505527628, 2331866505529480, 2331866505709534, 2331866505767144, 2331866505915902, 2331866589094960, 8192
2331866589462476, 2331866589464531, 2331866589532790, 2331866589708659, 2331866589887213, 2331866682410319, 8191
2331867323724307, 2331867323726196, 2331867323907047, 2331867323966250, 2331867324181248, 2331867423821904, 8192
2331868964036911, 2331868964038744, 2331868964221817, 2331868964281261, 2331868965027087, 2331869129402258, 16383
2331870599535408, 2331870599536204, 2331870599636592, 2331870599656407, 2331870599906812, 2331870763103437, 16383
2331872240082917, 2331872240084898, 2331872240264174, 2331872240322266, 2331872240468006, 2331872323210642, 8192
2331872323636860, 2331872323638546, 2331872323798563, 2331872323892229, 2331872324196596, 2331872418241616, 8191
2331873057895674, 2331873057897766, 2331873058081561, 2331873058139172, 2331873058290078, 2331873141509173, 8192
2331874698208648, 2331874698210500, 2331874698386035, 2331874698443887, 2331874699197010, 2331874864688837, 16383
2331876333609183, 2331876333610016, 2331876333711460, 2331876333731663, 2331876333974421, 2331876497406192, 16383
2331877975223220, 2331877975225164, 2331877976387932, 2331877976460487, 2331877976596078, 2331878059794544, 8192
2331878064246709, 2331878064248746, 2331878064433707, 2331878064534466, 2331878064653983, 2331878157888158, 8191
2331878791888672, 2331878791890672, 2331878792122670, 2331878792225688, 2331878792374594, 2331878875960056, 8192
2331880429416467, 2331880429417152, 2331880429518781, 2331880429538595, 2331880429788927, 2331880593777174, 16383
