muestras, tiempo(ns)
8192, 6475264
16383, 12502607
16383, 11357786
16383, 12279795
8192, 6064250
8191, 6961314
8192, 14434364
8191, 9242679
8192, 5661588
8191, 5535441
8192, 6456468
8191, 5848697
8192, 6447172
8191, 5850956
8192, 6560300
8191, 5931326
8192, 5991140
8191, 5293555
8192, 5200686
8191, 5808142
8192, 5138463
8191, 5780290
8192, 5612755
8191, 5788383
8192, 6201785
8191, 5783679
8192, 5216796
8191, 5752790
8192, 5263907
8191, 5779938
8192, 5604773
8191, 5764327
8192, 5847531
8191, 5777753
8192, 5630254
8191, 5808938
8192, 5120612
8191, 5608144
8192, 5633662
8191, 5126260
8192, 5127538
8191, 5522090
8192, 5757883
8191, 5763679
8192, 5766013
8191, 5785141
8192, 5492682
8191, 5764382
8192, 5587089
8191, 5768012
8192, 5152685
8191, 5628810
8192, 5720309
8191, 5260332
8192, 5349832
8191, 5538960
8192, 5345183
8191, 5535885
8192, 5308795
8191, 5376684
8192, 5776679
8191, 5269536
8192, 5762494
8191, 5605459
8192, 9616693
8191, 5718254
8192, 5649662
8191, 5569848
8192, 5833660
8191, 5603700
8192, 5741605
8191, 5267684
8192, 5714217
8191, 5113038
8192, 5793493
8191, 5125908
8192, 5653366
8191, 5774697
8192, 5849715
8191, 5804586
8192, 5786420
8191, 5591903
8192, 5797549
8191, 5128019
8192, 5776439
8191, 5311758
8192, 5828456
8191, 5816734
8192, 6582244
8191, 5664569
8192, 6396099
8191, 5782790
8192, 6504597
8191, 5919937
8192, 5856048
8191, 6036176
8192, 5469552
8191, 6144435
8192, 5500701
8191, 5895122
8192, 5827308
8191, 6032010
8192, 5669643
8191, 5905307
8192, 5913289
8191, 11223232
16383, 19072722
16383, 14372643
16383, 11626949
16383, 12757141
8192, 8909664
8191, 9867191
8192, 5861382
8191, 6035917
8192, 5211574
8191, 5875770
8192, 6354840
8191, 5793938
8192, 5666661
8191, 5495496
8192, 5650106
8191, 5847215
8192, 5769050
8191, 5800901
8192, 5613348
8191, 5278258
8192, 5420553
8191, 5689717
8192, 5795383
8191, 5759271
8192, 5111686
8191, 5715827
8192, 5173501
8191, 5440313
8192, 5088168
8191, 5547552
8192, 5548181
8191, 5289628
8192, 5778328
8191, 5337813
8192, 5653921
8191, 5079538
8192, 5568385
8191, 5564329
8192, 5430516
8191, 5717624
8192, 5741791
8191, 9308049
8192, 7645844
8191, 8626519
8192, 8140135
8191, 8561241
8192, 8207838
8191, 8521761
8192, 7622419
8191, 8437576
8192, 7821453
8191, 8579353
8192, 7683381
8191, 6826890
8192, 5429646
8191, 5759976
8192, 5742698
8191, 5807475
8192, 5139242
8191, 5548292
8192, 5590125
8191, 5329850
8192, 5249389
8191, 6454079
8192, 5328925
8191, 5727013
8192, 5982899
8191, 5777512
8192, 5129890
8191, 5838253
8192, 5135390
8191, 5761494
8192, 5466960
8191, 5551181
8192, 5573163
8191, 5724994
8192, 5900863
8191, 5822234
8192, 5424868
8191, 5330313
8192, 5531052
8191, 5631643
8192, 5530811
8191, 5765605
8192, 5615736
8191, 5727754
8192, 5569329
8191, 5683717
8192, 5621051
8191, 5718291
8192, 5563681
8191, 5737846
8192, 5560255
8191, 5637107
8192, 5078834
8191, 5721050
8192, 5600404
8191, 5816289
8192, 5778846
