muestras, tiempo(ns)
16383, 20148932
8192, 8775407
8191, 10045688
8192, 9441306
8191, 10327000
8192, 9427973
8191, 9384177
8192, 8975052
8191, 9962004
8192, 8272449
8191, 9915524
8192, 8809924
8191, 9512120
8192, 8498335
8191, 9726248
8192, 8612259
8191, 9062052
8192, 8202227
8191, 9747840
8192, 8779888
8191, 9714803
8192, 8691777
8191, 9041014
8192, 8246264
8191, 9991949
8192, 8618297
8191, 9081088
8192, 8449187
8191, 8853979
8192, 8803109
8191, 9043755
8192, 8407743
8191, 9701211
8192, 8766091
8191, 8984644
8192, 8377763
8191, 8754221
8192, 8929237
8191, 8740425
8192, 9010385
8191, 8485520
8192, 8409762
8191, 9701156
8192, 8528761
8191, 9041015
8192, 8600223
8191, 8569890
8192, 8672925
8191, 8995330
8192, 9222272
8191, 8588112
8192, 9061940
8191, 8741481
8192, 9270549
8191, 8573186
8192, 9326011
8191, 8658333
8192, 9969560
8191, 8427150
8192, 9974041
8191, 8731869
8192, 9247864
8191, 8866979
8192, 9650045
8191, 9777450
16383, 24555793
8192, 10528220
8191, 9984263
16383, 17694107
16383, 18215453
16383, 18589893
8192, 10043745
16383, 19858121
8192, 9335140
16383, 19707604
16383, 18659319
8192, 9827784
8191, 8796591
8192, 9826840
8191, 8791906
8192, 8601371
8191, 8917923
8192, 9016718
8191, 8907701
8192, 8976200
8191, 8757481
8192, 8876220
8191, 8337929
8192, 8886516
8191, 9963134
8192, 8296392
8191, 9681563
8192, 8701073
8191, 9782340
8192, 8502206
8191, 9395566
8192, 8423613
8191, 8859368
8192, 8914664
8191, 9658285
8192, 8724240
8191, 8802036
8192, 9722414
8191, 8517039
8192, 8534594
8191, 8516243
8192, 9737896
8191, 8632723
8192, 9010182
8191, 8595871
8192, 8983477
8191, 8711314
8192, 9658656
8191, 8335504
8192, 9643693
8191, 8633445
8192, 8721740
8191, 8293226
8192, 9047014
8191, 8753555
8192, 9671749
8191, 8743129
8192, 9662841
8191, 8714685
8192, 8944404
8191, 8518113
8192, 9777433
8191, 8480558
8192, 8687611
8191, 8219153
8192, 9645433
8191, 8356855
8192, 9000255
8191, 8679907
8192, 8552761
8191, 8716388
8192, 8564168
8191, 8340837
8192, 8977126
8191, 8704888
8192, 9604379
8191, 8886405
8192, 9380659
8191, 8705000
8192, 8948775
8191, 8735832
8192, 9651379
8191, 8695222
8192, 9648989
8191, 8430410
8192, 8972700
8191, 8115673
8192, 9029959
8191, 8873350
8192, 8604889
8191, 7969267
8192, 9652675
8191, 8730555
8192, 9650748
8191, 8708499
8192, 8953089
8191, 8725888
8192, 8900034
8191, 8801368
8192, 8618963
8191, 8812017
8192, 8597871
8191, 8692018
8192, 8903072
8191, 8014988
8192, 8980200
8191, 8452724
8192, 8941645
8191, 8564167
8192, 8993441
8191, 9678119
8192, 8765684
8191, 8863553
8192, 9002570
8191, 8358615
8192, 8855738
8191, 8433391
8192, 9648952
8191, 8587093
8192, 8988200
8191, 8724314
8192, 9022070
8191, 8446188
8192, 8996163
8191, 8830183
8192, 8588890
8191, 8614426
8192, 8360744
8191, 8732962
8192, 9654786
8191, 8716129
8192, 8898146
8191, 8400206
8192, 9701693
8191, 8740759
8192, 8553001
8191, 8867257
8192, 9705544
8191, 8705592
8192, 8676740
8191, 8431576
8192, 9676119
8191, 8695129
8192, 9029052
8191, 8424484
8192, 9691063
8191, 8368892
8192, 9662730
8191, 8863424
8192, 9021663
8191, 8744684
8192, 9655137
8191, 8726203
8192, 8929627
8191, 8780998
8192, 8981589
8191, 8720536
8192, 9650007
8191, 8739943
8192, 9666841
8191, 8791795
8192, 9037607
8191, 8747795
8192, 9428825
8191, 8628741
8192, 8992422
8191, 8410892
8192, 9660360
8191, 8742091
8192, 8652130
8191, 8998923
8192, 8940664
8191, 8690444
8192, 8917831
8191, 8716296
8192, 9818172
8191, 8120654
8192, 9704137
8191, 9317233
8192, 9689692
8191, 8351947
8192, 9694137
8191, 8419484
8192, 9663508
8191, 8859479
8192, 9068106
8191, 8398002
8192, 9027477
8191, 8750518
8192, 8957163
8191, 8542964
8192, 8756221
8191, 8630926
8192, 8946016
8191, 8678833
8192, 8818628
8191, 9789395
8192, 9736377
8191, 8187301
8192, 9023755
8191, 8619482
8192, 8891535
8191, 8684888
8192, 9517658
8191, 8590075
8192, 8873276
8191, 8704130
8192, 8953756
8191, 8663055
8192, 9037070
8191, 8095895
8192, 8969867
8191, 8863386
8192, 9752396
8191, 8465650
8192, 9005034
8191, 8355689
8192, 7992174
8191, 8647426
8192, 8993015
8191, 8777166
8192, 9044329
8191, 8368484
8192, 8971404
8191, 8364226
8192, 9353400
8191, 8798906
8192, 8895923
8191, 8565853
8192, 8831406
8191, 8332948
8192, 8959015
8191, 8828368
8192, 8943052
8191, 8429965
8192, 8913812
8191, 8679796
8192, 8952756
8191, 8163394
8192, 8935719
8191, 8622001
8192, 8457668
8191, 8711351
8192, 8965793
8191, 8701944
8192, 9027681
8191, 8353114
8192, 8973367
8191, 8738073
8192, 8731462
8191, 8665314
8192, 8305504
8191, 8843350
8192, 8679777
8191, 8086025
8192, 9050699
8191, 9890357
8192, 9741729
8191, 8746814
8192, 9014089
8191, 8744407
8192, 8598667
8191, 8529650
8192, 8978922
8191, 8600204
8192, 8786813
8191, 8903571
8192, 8423336
8191, 8878572
8192, 8974348
8191, 8366206
8192, 8636649
8191, 8351799
8192, 9659729
8191, 9649378
8192, 9651952
8191, 9655915
8192, 8993145
8191, 8736721
8192, 8932701
8191, 8873145
8192, 8973774
8191, 8368558
8192, 8937737
8191, 8365226
8192, 8917479
8191, 9649434
8192, 9792340
8191, 8483261
8192, 9023774
8191, 8736888
8192, 8999700
8191, 8703611
8192, 8987034
8191, 8677221
8192, 9246901
8191, 8554983
8192, 8956719
8191, 8336874
8192, 8921868
8191, 8714036
8192, 9683285
8191, 8629056
8192, 8954034
8191, 8883386
8192, 9541287
8191, 8690685
8192, 8667666
8191, 8542334
8192, 8472668
8191, 8337911
8192, 8663519
8191, 8915941
8192, 8867497
8191, 8333947
8192, 9657341
8191, 8872350
8192, 9010033
8191, 8488853
8192, 8531372
8191, 8099857
8192, 8871979
8191, 8583334
8192, 9368788
8191, 8831646
8192, 9722173
8191, 8746166
8192, 8963533
8191, 8849071
8192, 9499676
8191, 8735851
8192, 9665526
8191, 8726055
8192, 9686489
8191, 8505002
8192, 8590982
8191, 8950349
8192, 8929405
8191, 8446614
8192, 9682545
8191, 8872090
8192, 9016996
8191, 8650500
8192, 9659526
8191, 8624389
8192, 9005996
8191, 8645056
8192, 8966960
8191, 8718888
8192, 9652656
8191, 8063932
8192, 8854554
8191, 8866461
8192, 9013515
8191, 8344077
8192, 8888775
8191, 8749647
8192, 9591805
8191, 8578372
8192, 8925793
8191, 8762184
8192, 8645574
8191, 8358078
8192, 8944237
8191, 8875664
8192, 9017552
8191, 8155505
8192, 9695581
8191, 9414566
8192, 8736369
8191, 8344541
8192, 8349762
8191, 8348484
8192, 8933775
8191, 8610445
8192, 8732147
8191, 9815561
8192, 9722248
8191, 9307678
8192, 8917368
8191, 8456188
8192, 9686286
8191, 8742166
8192, 8707592
8191, 8881831
8192, 8945349
8191, 9661934
8192, 8343911
8191, 9131661
8192, 9740192
8191, 9610323
8192, 8983885
8191, 8517094
8192, 8544279
8191, 8677852
8192, 8597038
8191, 9788803
8192, 8802480
8191, 8638389
8192, 8396169
8191, 8500186
8192, 8466595
8191, 8360595
8192, 8918331
8191, 8669741
8192, 8951552
8191, 8445706
8192, 8332948
8191, 8335911
8192, 8969089
8191, 8642481
8192, 8955516
8191, 8199172
8192, 8420947
8191, 8962274
8192, 8611167
8191, 8726573
8192, 8987478
8191, 8674981
8192, 8671518
8191, 8584260
8192, 9644971
8191, 8674907
8192, 8557575
8191, 8719685
8192, 8977681
8191, 8486965
8192, 9662267
8191, 8732351
8192, 8786906
8191, 8646500
8192, 8804314
8191, 9729581
8192, 8566908
8191, 8408521
8192, 8701796
8191, 9848821
8192, 8663277
8191, 8369892
8192, 8633722
8191, 8708666
8192, 9004829
8191, 8354929
8192, 8995478
8191, 8647055
8192, 8508465
8191, 9578879
8192, 8187857
8191, 9800450
8192, 8395243
8191, 8762776
8192, 8593334
8191, 8393818
8192, 8971293
8191, 8710407
8192, 9655990
8191, 8919016
8192, 8968867
8191, 8684592
8192, 8732147
8191, 9118088
8192, 8668499
8191, 9668359
8192, 8732943
8191, 8843386
8192, 8896664
8191, 8645611
8192, 9587546
8191, 8377077
8192, 9680915
8191, 8677593
8192, 9101884
8191, 8922811
8192, 8686888
8191, 8749703
8192, 8490927
8191, 8892627
8192, 8706555
8191, 8974423
8192, 8652722
8191, 8864794
8192, 8191209
8191, 8336670
8192, 8858572
8191, 8726036
8192, 8652981
8191, 8998829
8192, 8729833
8191, 8338059
8192, 8636000
8191, 8601001
8192, 8664907
8191, 8693166
8192, 9001570
8191, 8563501
8192, 8572223
8191, 9798821
8192, 8400022
8191, 8976312
8192, 8348800
8191, 9659600
8192, 7964859
8191, 8581556
8192, 8742832
8191, 8732388
8192, 9659878
8191, 8499002
8192, 8953738
8191, 8897701
8192, 8759369
8191, 8715796
8192, 8555816
8191, 9210401
8192, 9710266
8191, 9705359
8192, 9741896
8191, 8375484
8192, 8945145
8191, 8822961
8192, 8159005
8191, 9821506
8192, 9345808
8191, 8476521
8192, 8724777
8191, 8930701
8192, 8472317
8191, 8636056
8192, 8333596
8191, 9662119
8192, 8732999
8191, 9315011
8192, 8724981
8191, 9915912
8192, 8501150
8191, 8640093
8192, 8967015
8191, 9702118
8192, 8654759
8191, 9248086
8192, 8696518
8191, 8963274
8192, 8346281
8191, 8979941
8192, 8476391
8191, 9095254
8192, 8882109
8191, 9734136
8192, 8404244
8191, 9005200
8192, 9664952
8191, 9654137
8192, 8928738
8191, 8727036
8192, 8333133
8191, 8918516
8192, 8709684
8191, 9134347
8192, 8415798
8191, 8410984
8192, 8650945
8191, 8952793
8192, 8717481
8191, 9664286
8192, 8340966
8191, 8926404
8192, 8330337
8191, 8979571
8192, 8714610
8191, 9104070
8192, 8728796
8191, 9028014
8192, 8570297
8191, 8985181
8192, 8721018
8191, 8673166
8192, 8735388
8191, 8765721
8192, 8363022
8191, 8914497
8192, 8942367
8191, 8845461
8192, 8422188
8191, 9109569
8192, 8814609
8191, 8909238
8192, 8750702
8191, 9676119
8192, 8591686
8191, 9656415
8192, 8379448
8191, 8683074
8192, 8336281
8191, 9106328
