Inicio, Continuar, Recep_Num_Muestras, Ampliacion_Array, Recepcion, Convolucion, Historial, Devolucion, Num_Muestras
606313891069921, 606315246215051, 606315246234810, 606315246235754, 606315246329068, 606315256083934, 606315256086008, 606315256248617, 8191
606315256444393, 606316611572393, 606316611589356, 606316611590152, 606316611689818, 606316621743162, 606316621745217, 606316621823124, 8192
606316621927215, 606317976708146, 606317976725127, 606317976725849, 606317976824570, 606317986544066, 606317986545974, 606317986622862, 8191
606317986719712, 606319341407607, 606319341426921, 606319341427736, 606319341552179, 606319351275083, 606319351277046, 606319351359582, 8192
606319351467432, 606320707215814, 606320707234314, 606320707235277, 606320707335572, 606320717063513, 606320717065365, 606320717136567, 8191
606320717347046, 606322072564916, 606322072582434, 606322072583527, 606322072683322, 606322082407022, 606322082408911, 606322082488447, 8192
606322082591834, 606323437717409, 606323437732742, 606323437733557, 606323437829259, 606323447561496, 606323447563348, 606323447638699, 8191
606323447736124, 606324802372667, 606324802391611, 606324802392426, 606324802489888, 606324812217921, 606324812219773, 606324812308253, 8192
606324812418215, 606326168228318, 606326168245392, 606326168246484, 606326168347965, 606326178068257, 606326178070091, 606326178143071, 8191
606326178242922, 606327533553216, 606327533571623, 606327533572457, 606327533670715, 606327543390915, 606327543392711, 606327543470951, 8192
606327543572320, 606328898717135, 606328898735875, 606328898736671, 606328898833115, 606328908558778, 606328908560481, 606328908643480, 8191
606328908750146, 606330263371393, 606330263389003, 606330263389837, 606330263484928, 606330273208647, 606330273210369, 606330273293109, 8192
606330273399589, 606331629239506, 606331629257284, 606331629258284, 606331629353135, 606331639070205, 606331639072001, 606331639142741, 8191
606331639265647, 606332994530201, 606332994543312, 606332994544016, 606332994640181, 606333004361511, 606333004363344, 606333004444103, 8192
606333004556694, 606334359711490, 606334359728545, 606334359729397, 606334359825525, 606334369546003, 606334369547836, 606334369621539, 8191
606334369717909, 606335725043554, 606335725061425, 606335725062517, 606335725161738, 606335734879531, 606335734881308, 606335734956771, 8192
606335735056899, 606337090210028, 606337090230102, 606337090230954, 606337090326582, 606337100048393, 606337100050097, 606337100125244, 8191
606337100236336, 606338455556222, 606338455573685, 606338455574555, 606338455669980, 606338465637399, 606338465639714, 606338465720547, 8192
606338465820768, 606339820044056, 606339820073685, 606339820074648, 606339820172295, 606339829885866, 606339829887662, 606339829969624, 8191
606339830075382, 606341186049316, 606341186068557, 606341186069501, 606341186169222, 606341195890052, 606341195891867, 606341195964551, 8192
606341196072105, 606342551225142, 606342551242679, 606342551243605, 606342551338048, 606342561061637, 606342561063396, 606342561139895, 8191
606342561243709, 606343916567484, 606343916585169, 606343916586187, 606343916674131, 606343926391386, 606343926393164, 606343926470089, 8192
606343926565051, 606345281725735, 606345281741402, 606345281742402, 606345281842030, 606345291559879, 606345291561693, 606345291633526, 8191
606345291859468, 606346646376845, 606346646396141, 606346646396937, 606346646492862, 606346656214766, 606346656216580, 606346656296154, 8192
606346656400597, 606348012232181, 606348012250384, 606348012251421, 606348012345568, 606348022063139, 606348022064935, 606348022140804, 8191
606348022237970, 606349377552282, 606349377569282, 606349377570264, 606349377666077, 606349387383092, 606349387384796, 606349387459221, 8192
606349387556090, 606350742714478, 606350742733404, 606350742734182, 606350742832310, 606350752557029, 606350752558825, 606350752634972, 8191
606350752730786, 606352108052320, 606352108085487, 606352108086431, 606352108185634, 606352117904167, 606352117905982, 606352117989499, 8192
606352118097350, 606353473217757, 606353473234757, 606353473236034, 606353473333255, 606353483050067, 606353483051863, 606353483126566, 8191
606353483223620, 606354838541043, 606354838559080, 606354838559988, 606354838655709, 606354848377427, 606354848379205, 606354848451408, 8192
606354848558721, 606356203707239, 606356203724720, 606356203725683, 606356203817682, 606356213536660, 606356213538438, 606356213623381, 8191
606356213728880, 606357569051933, 606357569067340, 606357569068340, 606357569166450, 606357578886465, 606357578888242, 606357578965649, 8192
606357579068129, 606358933540470, 606358933559340, 606358933560247, 606358933656228, 606358943367631, 606358943369428, 606358943450630, 8191
606358943550907, 606360299554693, 60636029957
