Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
2477011960127599, 2477011960128729, 2477011960204395, 2477011960219524, 2477011960286376, 2477012040309374, 8192
2477012044126633, 2477012044127707, 2477012044227928, 2477012044242243, 2477012044319297, 2477012144235046, 8191
2477012778350831, 2477012778351664, 2477012778477663, 2477012778501014, 2477012778994232, 2477012869468443, 8192
2477013597364147, 2477013597364924, 2477013597466646, 2477013597487053, 2477013597531126, 2477013671808329, 8191
2477014416586849, 2477014416587701, 2477014416690459, 2477014416707922, 2477014416760403, 2477014489116328, 8192
2477015235663516, 2477015235664368, 2477015235768478, 2477015235785089, 2477015235831922, 2477015307692073, 8191
2477016054886774, 2477016054887811, 2477016054991958, 2477016055007346, 2477016055060642, 2477016126787758, 8192
2477016875378278, 2477016875380259, 2477016875559073, 2477016875605368, 2477016875735793, 2477016948897136, 8191
2477017694597239, 2477017694599387, 2477017694790533, 2477017694835570, 2477017694970902, 2477017767921636, 8192
2477018513743256, 2477018513745237, 2477018513924458, 2477018513970939, 2477018514103678, 2477018586993950, 8191
2477019332917828, 2477019332919810, 2477019333094400, 2477019333141381, 2477019333271565, 2477019406070911, 8192
2477020150566544, 2477020150567285, 2477020150660451, 2477020150675562, 2477020150728136, 2477020222381604, 8191
2477020969763412, 2477020969764134, 2477020969864041, 2477020969880096, 2477020969932651, 2477021041572157, 8192
2477021792721502, 2477021792722317, 2477021792821242, 2477021792837686, 2477021792880056, 2477021867787715, 8191
2477022608073907, 2477022608074703, 2477022608168758, 2477022608184702, 2477022608234498, 2477022679869744, 8192
2477023427171423, 2477023427172275, 2477023427276070, 2477023427291922, 2477023427338903, 2477023499035408, 8191
2477024246369846, 2477024246370623, 2477024246460400, 2477024246475159, 2477024246519844, 2477024318108572, 8192
2477025065496083, 2477025065496917, 2477025065620582, 2477025065636138, 2477025065701507, 2477025137368049, 8191
2477025886101417, 2477025886103806, 2477025886286638, 2477025886332341, 2477025886460192, 2477025959112817, 8192
2477026705484393, 2477026705486615, 2477026705665076, 2477026705711169, 2477026705820723, 2477026778772234, 8191
2477027526122115, 2477027526124078, 2477027526292058, 2477027526338261, 2477027526509000, 2477027599092663, 8192
2477028343484703, 2477028343486777, 2477028343666904, 2477028343714441, 2477028343994661, 2477028416543601, 8191
2477029161277526, 2477029161278360, 2477029161371896, 2477029161387951, 2477029161488783, 2477029233039790, 8192
2477029980731352, 2477029980732185, 2477029980825351, 2477029980840943, 2477029980893998, 2477030052627392, 8191
2477030800721820, 2477030800722580, 2477030800815319, 2477030800831486, 2477030800903689, 2477030872553157, 8192
2477031618721901, 2477031618722956, 2477031618850214, 2477031618868677, 2477031618929806, 2477031690658958, 8191
2477032439319770, 2477032439321955, 2477032439505213, 2477032439553379, 2477032439750081, 2477032512349614, 8192
2477033258440820, 2477033258442839, 2477033258619559, 2477033258667874, 2477033258880446, 2477033330984335, 8191
2477034077638666, 2477034077640777, 2477034077813572, 2477034077862090, 2477034078070754, 2477034150618732, 8192
2477034896780179, 2477034896782105, 2477034896946936, 2477034896993269, 2477034897200878, 2477034969692357, 8191
2477035714465391, 2477035714466094, 2477035714567612, 2477035714585667, 2477035714681129, 2477035786330116, 8192
2477036533566681, 2477036533567403, 2477036533662124, 2477036533678995, 2477036533773994, 2477036605660311, 8191
2477037354313270, 2477037354315492, 2477037354492620, 2477037354540675, 2477037354737210, 2477037427584981, 8192
2477038173314024, 2477038173315968, 2477038173492022, 2477038173540244, 2477038173735779, 2477038246345348, 8191
2477038992567479, 2477038992569590, 2477038992751218, 2477038992799569, 2477038993001104, 2477039065610248, 8192
2477039812857071, 2477039812859219, 2477039813039014, 2477039813087958, 2477039813303085, 2477039885495974, 8191
2477040629376423, 2477040629377238, 2477040629478422, 2477040629495699, 2477040629574495, 2477040701203204, 8192
2477041448492008, 2477041448492878, 2477041448593044, 2477041448610581, 2477041448706395, 2477041520236642, 8191
2477042267660722, 2477042267661352, 2477042267754425, 2477042267771036, 2477042267849813, 2477042339403800, 8192
2477043086776214, 2477043086777048, 2477043086873380, 2477043086890065, 2477043086996601, 2477043158521959, 8191
2477043907381858, 2477043907383914, 2477043907563431, 2477043907612023, 2477043907804521, 2477043980381906, 8192
2477044726500961, 2477044726502961, 2477044726681589, 2477044726730237, 2477044726926327, 2477044799479823, 8191
2477045545728655, 2477045545730692, 2477045545887876, 2477045545935912, 2477045546144299, 2477045618770202, 8192
2477046364823813, 2477046364825776, 2477046365007330, 2477046365054385, 2477046365272902, 2477046438029933, 8191
2477047184733852, 2477047184734445, 2477047184826203, 2477047184842777, 2477047184949220, 2477047256527689, 8192
2477048001812770, 2477048001813604, 2477048001919825, 2477048001936806, 2477048002015491, 2477048073619348, 8191
2477048820972835, 2477048820973686, 2477048821077963, 2477048821095037, 2477048821176925, 2477048892781023, 8192
2477049639980937, 2477049639981659, 2477049640093677, 2477049640111103, 2477049640199620, 2477049711891050, 8191
2477050460648709, 2477050460650764, 2477050460829985, 2477050460878503, 2477050461074834, 2477050533642719, 8192
2477051279726273, 2477051279728365, 2477051279907993, 2477051279955715, 2477051280255138, 2477051352812449, 8191
2477052098900984, 2477052098903003, 2477052099079594, 2477052099128112, 2477052099328480, 2477052171625108, 8192
2477052918061844, 2477052918063825, 2477052918221213, 2477052918268453, 2477052918465747, 2477052992929391, 8191
2477053735780736, 2477053735781569, 2477053735878586, 2477053735895364, 2477053735985474, 2477053807635849, 8192
2477054554871669, 2477054554872484, 2477054554972094, 2477054554989298, 2477054555066075, 2477054626852541, 8191
