muestras, tiempo(ns)
8192, 23650616
8191, 15049135
8192, 18323303
8191, 16534044
8192, 15865089
8191, 29202167
8192, 19794194
8191, 15957309
8192, 27804238
8191, 19871620
8192, 16138474
8191, 11179213
8192, 11016048
8191, 9469491
8192, 10361500
8191, 9669803
8192, 11552746
8191, 10682570
8192, 9599211
8191, 9816209
8192, 9705765
8191, 13376930
8192, 8946608
8191, 11849242
8192, 8945182
8191, 10597330
8192, 8796202
8191, 9624600
8192, 8914274
8191, 9608360
8192, 9005978
8191, 9401509
8192, 9369937
8191, 9061513
8192, 9503323
8191, 9474824
8192, 9617545
8191, 9159143
8192, 9557397
8191, 9348066
8192, 8492890
8191, 9625785
8192, 9856634
8191, 8754591
8192, 8960274
8191, 9680210
8192, 9052033
8191, 9599119
8192, 9665637
8191, 9239752
8192, 8595389
8191, 9573953
8192, 9547194
8191, 14911321
8192, 9646803
8191, 19309477
8192, 24096463
8191, 19737640
8192, 15998995
8191, 25923999
8192, 30127601
8191, 19709806
8192, 23942779
8191, 23929021
8192, 15925310
8191, 23966094
8192, 15901551
8191, 15919440
8192, 23964871
8191, 15943624
8192, 15919440
8191, 24011741
8192, 20047265
8191, 9292825
16383, 17801864
8192, 8822738
16383, 16594007
16383, 17378720
8192, 8408151
16383, 17085150
16383, 16853208
8192, 9675155
16383, 15797330
16383, 16084864
16383, 16864503
16383, 16863522
8192, 8433964
16383, 15182892
16383, 16078790
16383, 16803986
8192, 8400891
16383, 16092456
16383, 16355954
8192, 7774842
16383, 15843792
16383, 17601514
8192, 8070858
16383, 15158300
16383, 16843615
16383, 15133726
16383, 15903440
8192, 8006043
16383, 16502971
16383, 16582173
16383, 17248629
8192, 8131191
16383, 26910136
16383, 15120578
16383, 15949514
16383, 16266251
8192, 9012366
16383, 16172418
16383, 16752209
16383, 15806830
8192, 8427520
16383, 15662498
16383, 16672357
16383, 17349517
16383, 16591933
8192, 17446516
8191, 29992659
8192, 24090463
8191, 25937017
8192, 30637930
8191, 25504540
8192, 26443956
8191, 24585217
8192, 26944377
8191, 25065434
8192, 25202136
8191, 26703898
8192, 25569429
8191, 26450271
8192, 23470525
8191, 33810229
8192, 27684405
8191, 33865543
8192, 27879497
8191, 27949551
8192, 55956231
8191, 59730024
8192, 32875220
8191, 23460100
8192, 26635509
8191, 25499392
8192, 25613854
8191, 25187395
8192, 28801931
8191, 25394745
8192, 26406068
8191, 26117626
8192, 27781313
8191, 24680790
8192, 25704797
8191, 26429400
8192, 28813320
8191, 25429727
8192, 23875447
8191, 25996109
8192, 26645435
8191, 26518011
8192, 23707263
8191, 26855285
8192, 25596817
8191, 96283204
8192, 49658373
8191, 23599523
8192, 26137441
8191, 24666142
8192, 24064611
8191, 23067437
8192, 26534363
8191, 25197765
8192, 26434753
8191, 25962609
8192, 28405009
8191, 24755548
8192, 26481900
8191, 25112229
8192, 26066682
8191, 24706808
8192, 26541085
8191, 26823785
8192, 44225653
8191, 28632507
8192, 29846457
8191, 25402671
8192, 30430116
8191, 27416797
8192, 30660966
8191, 27081727
8192, 39819201
8191, 38753416
8192, 32045933
8191, 30884223
8192, 30567726
8191, 25981220
8192, 30195156
8191, 28855152
8192, 30180749
8191, 27825015
8192, 30888131
8191, 28186326
8192, 31184683
8191, 26681638
8192, 28537359
8191, 27395112
8192, 33931209
8191, 25545855
8192, 28750561
8191, 24472255
8192, 36551625
8191, 26538826
8192, 24297924
8191, 30320137
8192, 27868792
8191, 23146917
8192, 23143158
8191, 24748900
8192, 25040027
8191, 25674742
8192, 23349841
8191, 31393291
8192, 27614592
8191, 26017461
8192, 22664793
8191, 25248080
8192, 29436813
8191, 23812633
8192, 24318627
8191, 23170324
8192, 29709421
8191, 24027241
8192, 25946165
8191, 8479983
8192, 8693406
8191, 9305863
8192, 8889756
8191, 8792090
8192, 11352396
8191, 8995551
8192, 8872756
8191, 8910793
8192, 8410354
8191, 8875071
8192, 7842249
8191, 8927571
8192, 8933348
8191, 8935015
8192, 8447224
8191, 8992847
8192, 11387119
8191, 9024791
8192, 8602222
8191, 8245411
8192, 8813924
8191, 8336947
8192, 8799868
8191, 8438539
8192, 8800942
8191, 8090987
8192, 8884700
8191, 8930792
8192, 11395562
8191, 8880071
8192, 8382965
8191, 11101751
8192, 8890663
8191, 8945422
8192, 8389280
8191, 8281911
8192, 8848997
8191, 8958274
8192, 8928681
8191, 8921959
8192, 11377433
8191, 11833965
8192, 9394399
8191, 8947681
8192, 8349466
8191, 8882756
8192, 8319762
8191, 8366280
8192, 8943441
8191, 8775406
8192, 8815738
8191, 8606129
8192, 11008752
8191, 8898868
8192, 8417279
8191, 8927182
8192, 7855045
8191, 8958311
8192, 8240318
8191, 8740461
8192, 8358465
8191, 8658944
8192, 10440592
8191, 8438872
8192, 10545813
8191, 8775147
8192, 8946423
8191, 8956051
8192, 8853349
8191, 8294985
8192, 8864738
8191, 8594556
8192, 8988977
8191, 8292818
8192, 8956774
8191, 8924959
8192, 11273434
8191, 8957181
8192, 8959015
8191, 8289152
8192, 8921811
8191, 8295059
8192, 8987181
8191, 8319466
8192, 8447501
8191, 8381687
8192, 8934385
8191, 8921904
8192, 11075733
8191, 8839812
8192, 8522242
8191, 8316280
8192, 8845793
8191, 8945534
8192, 10734718
8191, 9039773
8192, 8962977
8191, 8212930
8192, 8376725
8191, 8866849
8192, 11377118
8191, 8379632
8192, 8627351
8191, 11168787
8192, 8409057
8191, 8911422
8192, 10349944
8191, 10777069
8192, 9042718
8191, 7991396
8192, 8990626
8191, 9006329
8192, 10685718
8191, 8634166
8192, 8320910
8191, 8304800
8192, 8677481
8191, 8970496
8192, 8828461
8191, 8947126
8192, 8731925
8191, 8975810
8192, 8853905
8191, 8946107
8192, 10347685
8191, 10307963
8192, 9021051
8191, 8858405
8192, 8182357
8191, 8872942
8192, 8108617
8191, 8928904
8192, 8290448
8191, 8942274
8192, 8308929
8191, 8765054
8192, 11199158
8191, 9055291
8192, 8872442
8191, 9008218
8192, 8487519
8191, 8832701
8192, 8954219
8191, 8985273
8192, 8371762
8191, 8911348
8192, 8847924
8191, 8644388
8192, 11438951
8191, 8365502
8192, 8979310
8191, 8953348
8192, 8154671
8191, 8844997
8192, 8238411
8191, 8941367
8192, 8280762
8191, 8797220
8192, 8945182
8191, 8270873
8192, 11268472
8191, 8939793
8192, 9011477
8191, 8926866
8192, 8864460
8191, 8914367
8192, 8375262
8191, 8386188
8192, 8129227
8191, 9042847
8192, 8396558
8191, 8799646
8192, 10497554
8191, 8839201
8192, 8473520
8191, 8246134
8192, 8875515
8191, 9349159
8192, 10293129
8191, 8911237
8192, 8457057
8191, 9734525
8192, 8139968
8191, 8973682
8192, 9623470
8191, 8989700
8192, 8719555
8191, 8667277
8192, 8161098
8191, 8832498
8192, 8977737
8191, 8639963
8192, 8312522
8191, 8862738
8192, 8421354
8191, 8843905
8192, 9950874
8191, 8869516
8192, 8174893
8191, 8831905
8192, 20020322
8191, 24573365
8192, 23920557
8191, 30971333
8192, 25746168
8191, 23576061
8192, 25842499
8191, 22804458
8192, 28058994
8191, 24909528
8192, 26654250
8191, 22893087
8192, 26457974
8191, 25649594
8192, 23116400
8191, 29277315
8192, 28820690
8191, 25978684
8192, 24889566
8191, 24391571
8192, 27678702
8191, 25209155
8192, 25588687
8191, 25470504
8192, 28028235
8191, 32756795
8192, 28803153
8191, 25184192
8192, 29097409
8191, 23896854
8192, 24566328
8191, 25721298
8192, 27952070
8191, 23851725
8192, 23343748
8191, 24138055
8192, 24413700
8191, 30022584
8192, 24730734
8191, 23143288
16383, 46623850
8192, 24907935
16383, 44318042
8192, 25100359
16383, 44868332
8192, 30052287
16383, 43983341
8192, 23569487
8191, 28125031
8192, 26744990
8191, 24451996
8192, 23125788
8191, 26169811
8192, 26421697
8191, 23083807
8192, 23084826
8191, 28150437
8192, 24835677
8191, 25676483
8192, 24891066
8191, 29061595
8192, 25389393
8191, 23538636
8192, 25019323
8191, 26431679
8192, 24466070
8191, 26666675
8192, 30021362
8191, 25813425
8192, 23930946
8191, 25508892
8192, 24086445
8191, 25208173
8192, 26366753
8191, 23705522
8192, 25245598
8191, 25196969
8192, 26697306
8191, 30420820
8192, 27387076
8191, 26116201
8192, 24799900
8191, 25247006
8192, 23582172
8191, 24672994
8192, 24604494
8191, 26638491
8192, 25229136
8191, 28460898
8192, 28411602
8191, 25582558
8192, 23808132
8191, 26815285
8192, 25617928
8191, 23564579
8192, 24616828
8191, 24702512
8192, 24786715
8191, 24831991
8192, 23311694
8191, 26182144
8192, 27243614
8191, 26393679
8192, 25147359
8191, 27181003
8192, 24336108
8191, 23056160
8192, 23854206
8191, 24495162
8192, 24561773
8191, 26680046
8192, 26081701
8191, 29458035
8192, 25179785
8191, 26605750
8192, 24817992
8191, 26790193
16383, 44961664
8192, 24791622
8191, 27227022
16383, 49558818
16383, 18963573
8192, 12716882
16383, 16511489
16383, 16594303
8192, 8493575
16383, 15700720
16383, 15955810
8192, 7714139
16383, 17381757
16383, 16760523
16383, 15464926
16383, 16767579
8192, 7984136
16383, 16224584
16383, 16818281
16383, 17703920
8192, 8126246
16383, 16749745
16383, 17825068
16383, 15928958
16383, 15024412
8192, 8637518
8191, 11973890
8192, 8873997
8191, 8441650
8192, 10079206
8191, 8067154
8192, 8419335
8191, 8860220
8192, 8845997
8191, 8742276
8192, 8843479
8191, 7776323
8192, 8351280
8191, 8800146
8192, 8834108
8191, 8817275
8192, 10368869
8191, 8403225
8192, 8292207
8191, 8469076
8192, 8734184
8191, 8388410
8192, 8859312
8191, 8829442
8192, 8479316
8191, 8831349
8192, 10244130
8191, 8843516
8192, 10700737
8191, 8957978
8192, 8324651
8191, 8828165
8192, 9033959
8191, 8554556
8192, 8844608
8191, 8836683
8192, 9011532
8191, 8583092
8192, 8941570
8191, 8825812
8192, 10205593
8191, 8577185
8192, 8322595
8191, 8330114
8192, 8858108
8191, 7776398
8192, 8307614
8191, 8632907
8192, 8867164
8191, 8465390
8192, 8697869
8191, 8323133
8192, 9861079
8191, 8263411
8192, 8656037
8191, 8390169
8192, 8458983
8191, 8396262
8192, 11153158
8191, 8857831
8192, 8290707
8191, 8381965
8192, 8857089
8191, 8940330
8192, 10692293
8191, 8993310
8192, 8823443
8191, 8826535
8192, 8423465
8191, 8827090
8192, 8832812
8191, 8569667
8192, 8152208
8191, 8571223
8192, 8405391
8191, 8970903
8192, 10303871
8191, 8919904
8192, 8689610
8191, 8818942
8192, 8244245
8191, 8692370
8192, 8919626
8191, 8935812
8192, 8832146
8191, 8582778
8192, 8255634
8191, 8834978
8192, 10338500
8191, 10087521
8192, 8640592
8191, 8544390
8192, 8508372
8191, 8843146
8192, 8939830
8191, 8597352
8192, 8256041
8191, 8925552
8192, 8819331
8191, 8454502
8192, 10645200
8191, 8829831
8192, 8832405
8191, 8615778
8192, 8364707
8191, 8463186
8192, 8341373
8191, 8284818
8192, 9121532
8191, 8956552
8192, 8119783
8191, 8986181
8192, 10151447
8191, 8709702
8192, 8453057
8191, 9029180
8192, 8357670
8191, 9025829
8192, 8167227
8191, 8675703
8192, 11669430
8191, 8725480
8192, 8895182
8191, 8854312
8192, 10158094
8191, 8511779
8192, 8407410
8191, 8947163
8192, 8495408
8191, 8501927
8192, 8421447
8191, 8789572
8192, 8806923
8191, 9089698
8192, 9987819
8191, 8547223
8192, 9079939
8191, 9081957
8192, 7976155
8191, 9049181
8192, 8550278
8191, 8387632
8192, 8423891
8191, 8936588
8192, 8260781
8191, 9024699
8192, 8416335
8191, 8409206
8192, 10125261
8191, 9066550
8192, 8469372
8191, 8981440
8192, 11649226
8191, 8454613
8192, 8559074
8191, 18262045
8192, 24422366
8191, 24843602
8192, 24623550
8191, 29368480
8192, 29662218
8191, 24834622
8192, 24544772
8191, 26710602
8192, 29070484
8191, 25971999
8192, 24416607
8191, 24636883
8192, 26161385
8191, 25300764
8192, 24329461
8191, 23436155
8192, 25387301
8191, 24634827
8192, 25768648
8191, 24141092
8192, 26291254
8191, 26083830
8192, 25002249
8191, 24832121
8192, 24161944
8191, 24309146
8192, 24686827
8191, 23508766
8192, 24553199
8191, 23934168
8192, 26876693
8191, 24342589
8192, 27381761
8191, 23859799
8192, 25452874
8191, 26505085
8192, 24576680
8191, 25087434
8192, 25008267
8191, 25803944
8192, 24491033
8191, 24932325
8192, 23974576
8191, 25918425
8192, 27493574
8191, 25300394
8192, 23665283
8191, 25152766
8192, 25856407
8191, 26182329
8192, 25871666
8191, 23422877
8192, 28773449
8191, 25098526
8192, 24393034
8191, 26394975
8192, 28920448
8191, 23888669
8192, 24463033
8191, 23201917
8192, 26569806
8191, 24955732
8192, 28197197
8191, 26616010
8192, 27328391
8191, 24673068
8192, 46222281
8191, 25320764
8192, 25619039
8191, 23854651
8192, 26620325
8191, 23698430
8192, 26305013
8191, 25562614
8192, 23784355
8191, 25477189
8192, 27392223
8191, 24985175
8192, 25806815
8191, 23426304
8192, 25431190
8191, 24390034
8192, 26353402
8191, 24449107
8192, 26496437
8191, 24287146
8192, 25370060
8191, 23767819
8192, 27793849
8191, 23282397
8192, 25170952
8191, 26910154
8192, 27644740
8191, 23610875
8192, 25838592
8191, 24916880
8192, 24423959
8191, 23800614
8192, 26667805
8191, 23546802
8192, 26899284
8191, 26555621
8192, 25182544
8191, 25579724
8192, 27758609
8191, 25367135
8192, 30154379
8191, 24355923
8192, 27413446
8191, 23897965
8192, 25228210
8191, 23285694
8192, 23779263
8191, 26529196
8192, 25584446
8191, 24571458
8192, 29682773
8191, 26646621
8192, 23512006
8191, 27280947
8192, 26503011
8191, 23632209
8192, 25462929
8191, 24826455
8192, 27366316
8191, 25196896
8192, 11579968
8191, 8952644
8192, 8885923
8191, 8935811
8192, 8753203
8191, 8807035
8192, 10581090
8191, 8952145
8192, 8372354
8191, 8958348
8192, 9051291
8191, 8380743
8192, 8377669
8191, 8944107
8192, 8296504
8191, 8923311
8192, 8922089
8191, 8947255
8192, 10182261
8191, 8498371
8192, 8326133
8191, 8996977
8192, 8317707
8191, 8831109
8192, 8038821
8191, 8623796
8192, 8315411
8191, 8936941
8192, 8172819
8191, 8779480
8192, 10705607
8191, 9107791
8192, 8426779
8191, 8558889
8192, 8992533
8191, 8829850
8192, 8806128
8191, 8951830
8192, 8414743
8191, 8968126
8192, 8393243
8191, 8685091
8192, 10648515
8191, 8976588
8192, 8357225
8191, 7818490
8192, 7634029
16383, 16176992
16383, 16707561
16383, 15839330
16383, 16445619
8192, 14171366
8191, 12083536
8192, 8332243
8191, 8783405
8192, 8364354
8191, 8919071
8192, 8050821
8191, 8374391
8192, 8850090
8191, 8442058
8192, 8245930
8191, 9976726
8192, 8998552
8191, 8256133
8192, 8242633
8191, 8931756
8192, 8123801
8191, 8838479
8192, 8409020
8191, 8938774
8192, 8220356
8191, 8951885
8192, 8387484
8191, 10284093
8192, 8538112
8191, 8125745
8192, 8857831
8191, 8026951
8192, 8904941
8191, 8142153
8192, 8845220
8191, 8309781
8192, 8958015
8191, 8450243
8192, 8864387
8191, 10653182
8192, 8863682
8191, 8939571
8192, 8889904
8191, 8103654
8192, 8719943
8191, 8860553
8192, 8838627
8191, 8292410
8192, 8849831
8191, 8918533
8192, 8377817
8191, 20140191
8192, 26627676
8191, 22668700
8192, 25003268
8191, 24251943
8192, 25349727
8191, 25484559
8192, 25435041
8191, 26888118
8192, 24775919
8191, 24752234
8192, 26330105
8191, 26708417
8192, 26524677
8191, 24409589
8192, 25984572
8191, 32887998
8192, 23753540
8191, 22852365
8192, 23666930
8191, 26780360
8192, 23551357
8191, 24571106
8192, 28449546
8191, 27464537
8192, 25380449
8191, 25543336
8192, 26587250
8191, 25230561
8192, 25449319
8191, 24219647
8192, 26580529
8191, 24119036
8192, 24760437
8191, 23240380
8192, 23117196
8191, 25073878
8192, 26237495
8191, 23503673
8192, 24108333
8191, 26286550
8192, 24155573
8191, 26629899
8192, 25420522
8191, 25895648
8192, 26692157
8191, 24589587
8192, 26625843
8191, 27000802
8192, 30016751
8191, 39560759
8192, 26963673
8191, 28038957
8192, 26957876
8191, 26037071
8192, 25859241
8191, 26510548
8192, 26630472
8191, 24536384
8192, 24008945
8191, 25517596
8192, 25567558
8191, 25211080
8192, 25471263
8191, 27052339
8192, 26639176
8191, 23440118
8192, 26309143
8191, 25528596
8192, 23375193
8191, 22704200
16383, 46881033
8192, 29551034
8191, 22725941
16383, 45634157
16383, 44932942
8192, 23485802
16383, 47547044
16383, 48485070
8192, 24284553
8191, 24879084
16383, 46347927
8192, 25925536
16383, 47256620
8192, 25054823
16383, 46302298
8192, 24955250
16383, 46080374
8192, 24177869
16383, 47346454
8192, 24950102
16383, 45931338
8192, 24227609
16383, 49087546
8192, 24585902
16383, 48075093
8192, 26483234
16383, 45262365
8192, 24964787
16383, 47388508
8192, 24903102
8191, 26153904
16383, 46302335
16383, 44915517
8192, 26357475
16383, 44203190
8192, 24014000
8191, 24788788
16383, 45139663
8192, 13766482
16383, 14590824
8192, 8253837
16383, 16798468
16383, 16757505
16383, 16576414
16383, 17217259
8192, 9082087
16383, 16454989
16383, 15260244
8192, 8429483
16383, 14543880
16383, 16307677
8192, 8084024
16383, 16202455
16383, 16254899
16383, 16306787
16383, 15802515
8192, 7979822
16383, 15658091
16383, 16670636
16383, 15052079
16383, 16790023
8192, 9454065
16383, 16845004
16383, 15769737
8192, 8464742
16383, 15717442
16383, 16360176
16383, 16086568
16383, 16110160
8192, 7824009
16383, 16497766
16383, 16166234
8192, 8394039
16383, 16780337
16383, 16602062
8192, 9858913
16383, 16570229
16383, 16113993
16383, 16385323
16383, 15001468
8192, 8570241
16383, 16196067
16383, 17293129
16383, 16279362
16383, 16805412
16383, 16729209
8192, 8848441
16383, 19277070
8192, 8477371
16383, 16874874
16383, 15882458
8192, 7838675
16383, 16281658
16383, 15719701
8192, 8572574
16383, 15799663
16383, 16099401
16383, 16423194
8192, 8579315
8191, 8303688
16383, 16745079
16383, 16838559
16383, 16765097
8192, 9915356
16383, 16581340
16383, 15005338
16383, 16736728
16383, 15410927
8192, 7772139
16383, 16196214
16383, 16217530
16383, 16795634
16383, 16680469
8192, 8577555
16383, 16808837
16383, 16547766
16383, 16655191
8192, 9937653
16383, 16456323
16383, 15410390
16383, 15958273
16383, 16820059
8192, 8413631
16383, 16004550
16383, 16385805
16383, 16771652
16383, 15830774
8192, 8504834
16383, 16543544
16383, 16562026
16383, 16777041
16383, 16717506
8192, 9925338
16383, 16806560
16383, 14932357
16383, 16750893
8192, 7970710
8191, 8374910
16383, 16567063
16383, 15885570
16383, 16668710
16383, 17237777
8192, 8449613
16383, 16762004
16383, 15316187
16383, 16723838
8192, 7912100
16383, 16394157
16383, 16246788
16383, 17316480
16383, 16875133
8192, 8554408
16383, 15987754
16383, 16781449
16383, 15235891
8192, 8544667
16383, 15111559
16383, 15710368
16383, 17053223
8192, 8469835
16383, 16113326
16383, 16275084
16383, 16612784
16383, 16869263
8192, 8563445
16383, 16755431
16383, 15991272
16383, 16805875
16383, 16551099
8192, 8466020
16383, 15143948
16383, 16729616
16383, 16809856
8192, 8556093
8191, 7666954
16383, 15726127
16383, 16740079
8192, 8495686
16383, 15655443
16383, 16745838
16383, 16333620
16383, 16764801
16383, 16912818
8192, 9331900
16383, 16506692
16383, 16374287
8192, 8313058
16383, 16075308
16383, 15989624
16383, 46116114
16383, 48446885
8192, 23270694
8191, 23940483
16383, 45593842
8192, 24906362
16383, 45981505
8192, 24913065
16383, 83994207
8192, 25487948
16383, 44288375
16383, 45052145
8192, 23296378
16383, 47089530
8192, 24550828
8191, 22620608
8192, 22969660
16383, 46009283
8192, 22845865
16383, 49524560
16383, 47239250
8192, 24907380
16383, 49004880
8192, 23925483
8191, 24482218
8192, 25291061
16383, 47667876
8192, 24623568
16383, 45618991
8192, 24622901
16383, 45894784
8192, 26103849
16383, 43106129
8192, 23429118
16383, 44392819
8192, 24062241
16383, 46996586
8192, 24716419
16383, 48489441
16383, 45010552
8192, 23937909
8191, 23231472
8192, 24612105
8191, 23473710
8192, 23615246
16383, 48951806
8192, 24693809
16383, 47670876
8192, 25948369
16383, 45922413
8192, 23204732
8191, 23717059
16383, 45479974
8192, 25217710
16383, 43552735
16383, 46664127
8192, 23627801
8191, 24582458
16383, 43748252
8192, 23279842
16383, 47526377
8192, 26826063
16383, 43464254
8192, 22725792
16383, 45986338
16383, 46809515
8192, 24367959
8191, 23615524
8192, 24864381
16383, 45717044
8192, 24912639
16383, 46365390
8192, 22027560
16383, 46097133
8192, 23700152
16383, 48196018
8192, 24734530
16383, 45601435
16383, 49094731
8192, 23352527
8191, 23519636
16383, 45162329
