muestras, tiempo(ns)
8192, 15101143
8191, 23849184
8192, 10876297
8191, 20958991
8192, 7963697
8191, 7992734
8192, 11867602
8191, 7881513
8192, 7838810
8191, 15876154
8192, 7945382
8191, 7922586
8192, 11971990
8191, 7918661
8192, 7900568
8191, 15916968
8192, 7841772
8191, 8026456
8192, 7925530
8191, 7961197
8192, 15914302
8191, 44115682
8192, 8143399
8191, 4623119
8192, 9166333
8191, 4236475
8192, 6516656
8191, 4482899
8192, 8906465
8191, 9959028
8192, 4475066
8191, 11416365
8192, 4198717
8191, 3910942
8192, 8574099
8191, 4539713
8192, 10350451
8191, 4680731
8192, 5912088
8191, 8175602
8192, 4508954
8191, 8470785
8192, 4577917
8191, 5078189
8192, 4470381
8191, 9428571
8192, 6190437
8191, 4655805
8192, 4609435
8191, 7099483
8192, 8043233
8191, 4630509
8192, 5451444
8191, 4351882
8192, 4453029
8191, 5667850
8192, 4463436
8191, 4468862
8192, 5676257
8191, 4417418
8192, 4430437
8191, 4618583
8192, 5262502
8191, 4624119
8192, 4433825
8191, 5388260
8192, 4633045
8191, 4459696
8192, 4465232
8191, 5445185
8192, 4627453
8191, 4758433
8192, 5760664
8191, 10981962
8192, 9128760
8191, 4522732
8192, 4538991
8191, 8366027
8192, 4491603
8191, 6476842
8192, 7840569
8191, 5083781
8192, 7481813
8191, 8927650
8192, 4827063
8191, 8776745
8192, 3803128
8192, 8612876
8191, 4048681
8192, 3984478
8191, 9447570
8192, 13223384
8191, 7996734
16383, 15322697
16383, 14512334
16383, 11305997
16383, 13513807
16383, 16858403
8192, 31216832
8191, 7360833
8192, 12448485
8191, 8849910
16383, 11324589
16383, 13649732
16383, 23064729
8192, 7831161
8191, 7976531
8192, 7895160
8191, 12583854
8192, 8152139
8191, 7963827
8192, 8312638
8191, 8918225
8192, 10392913
8191, 15279642
8192, 4463954
8191, 5767053
8192, 10456449
8191, 12803111
8192, 6177252
8191, 7940494
8192, 6545804
8191, 4583694
8192, 9607273
8191, 9713161
8192, 6842394
8191, 9708401
8192, 6822486
8191, 11434865
8192, 4493176
8191, 12502855
8192, 4429215
8191, 10120138
8192, 4498954
8191, 4452603
8192, 7417666
8191, 9797938
8192, 11185053
8191, 15933783
8192, 4445529
8191, 4335826
8192, 6246492
8191, 14988534
8192, 4453677
8191, 4366308
8192, 18536553
8191, 12947406
8192, 7037836
8191, 3827165
8192, 4337252
8191, 6449639
8192, 4528806
8191, 4458140
8192, 6887523
8191, 4481195
8192, 4458307
8191, 6519471
8192, 4548861
8191, 4323641
8192, 6638729
8191, 4367901
8192, 4157625
8191, 6651359
8192, 4448195
8191, 4241031
8192, 7936383
8191, 4457418
8192, 4437455
8191, 7047873
8192, 4475344
8191, 4462640
8192, 7348814
8191, 4485196
8192, 4456603
8191, 7915938
8192, 3898257
