Inicio, Continuar,  Num_Muestras, Ampliacion_Array, Recepcion, Convolucion, Historial, Devolucion
523497875480035, 523497884755494, 523497884766272, 523497884781346, 523497884817068, 523497885891890, 523497885895149, 523497886134184
523497886147794, 523497887741667, 523497887870425, 523497887874739, 523497887896758, 523497889010376, 523497889014913, 523497889164152
523497889170207, 523497894040842, 523497894192266, 523497894196470, 523497894218988, 523497895269551, 523497895271884, 523497895408679
523497895417346, 523497896646407, 523497896656926, 523497896658129, 523497896723629, 523497897774155, 523497897776118, 523497897920283
523497897932875, 523497898241650, 523497898278464, 523497898281131, 523497898354056, 523497899486452, 523497899492822, 523497899647413
523497899654653, 523497902459161, 523497902473624, 523497902497013, 523497903139543, 523497905313131, 523497905318872, 523497905758256
523497905764090, 523497913999152, 523497914062392, 523497914065151, 523497914264353, 523497916407905, 523497916411738, 523497916736290
523497916744068, 523497917877260, 523497918005092, 523497918009666, 523497918031295, 523497919079062, 523497919081951, 523497919232653
523497919245949, 523497921001597, 523497921046634, 523497921049764, 523497921278909, 523497923380869, 523497923383554, 523497923672255
523497923684847, 523497924835872, 523497924962926, 523497924966815, 523497924987834, 523497926037915, 523497926040285, 523497926185858
523497926195302, 523497927948543, 523497927993210, 523497927996784, 523497928222707, 523497930324574, 523497930327093, 523497930636497
523497930658348, 523497932222388, 523497932335349, 523497932338423, 523497932359238, 523497933408986, 523497933411246, 523497933526152
523497933539578, 523497933714113, 523497933739761, 523497933742131, 523497933811093, 523497934860860, 523497934862934, 523497934965970
523497934980229, 523497935130820, 523497935161320, 523497935164320, 523497935225690, 523497936308993, 523497936313326, 523497936460269
523497936467343, 523497940336377, 523497940377414, 523497940379469, 523497940449765, 523497941500476, 523497941503180, 523497941644956
523497941652030, 523497943305828, 523497943359253, 523497943362771, 523497943487974, 523497944614295, 523497944620166, 523497944849126
523497944862552, 523497946207390, 523497946241038, 523497946244649, 523497946311759, 523497947362193, 523497947367341, 523497947560820
523497947571894, 523497948056426, 523497948070389, 523497948072018, 523497948103518, 523497949199025, 523497949202136, 523497949503263
523497949508448, 523497952342159, 523497952354177, 523497952355770, 523497952575657, 523497954678301, 523497954683505, 523497955096649
523497955112445, 523497961758302, 523497961771116, 523497961772394, 523497961948614, 523497964086537, 523497964090055, 523497964400292
523497964414033, 523497968890394, 523497969011059, 523497969014763, 523497969035781, 523497970088455, 523497970093066, 523497970281416
523497970295972, 523497970526395, 523497970559025, 523497970562302, 523497970643931, 523497971694642, 523497971696864, 523497971832196
523497971846270, 523497972057879, 523497972200285, 523497972203396, 523497972268321, 523497973318662, 523497973320866, 523497973453679
523497973468198, 523497973807287, 523497973841564, 523497973843990, 523497973903675, 523497974954090, 523497974956312, 523497975086662
523497975097477, 523497980418144, 523497980617123, 523497980621845, 523497980654030, 523497981744908, 523497981750223, 523497982073127
523497982091552, 523497984976244, 523497985084965, 523497985088114, 523497985108650, 523497986160473, 523497986163695, 523497986493710
523497986517228, 523497992398426, 523497992410908, 523497992412296, 523497992486555, 523497993539655, 523497993544785, 523497993872189
523497993888355, 523497994216111, 523497994257296, 523497994259592, 523497994351517, 523497995404080, 523497995408839, 523497995716206
523497995733373, 523498000162493, 523498000229307, 523498000231530, 523498000307381, 523498001358444, 523498001360684, 523498001501683
523498001513405, 523498001695774, 523498001727440, 523498001730181, 523498001802180, 523498003098926, 523498003105444, 523498003260813
523498003271109, 523498003456033, 523498003489107, 523498003491551, 523498003563884, 523498004645409, 523498004649539, 523498004813963
523498004819741, 523498008932735, 523498009043567, 523498009046123, 523498009067974, 523498010242221, 523498010251055, 523498010404516
523498010411942, 523498010610458, 523498010822382, 523498010826623, 523498010847826, 523498011895686, 523498011898315, 523498012079165
523498012093943, 523498012268145, 523498012299330, 523498012301904, 523498012367514, 523498013417966, 523498013420559, 523498013553872
523498013562594, 523498013744092, 523498013771222, 523498013774110, 523498013840239, 523498014889840, 523498014892228, 523498015029190
523498015042282, 523498015224299, 523498015250799, 523498015253373, 523498015317576, 523498016395176, 523498016399602, 523498016554507
523498016562989, 523498020163988, 523498020213043, 523498020215080, 523498020290728, 523498021342976, 523498021350735, 523498021629547
523498021641177, 523498023253937, 523498023302344, 523498023306418, 523498023495620, 523498025629635, 523498025633209, 523498025915299
523498025935928, 523498027579818, 523498027631873, 523498027635855, 523498027814723, 523498029945442, 523498029948534, 523498030235161
523498030245105, 523498031228539, 523498031339335, 523498031343631, 523498031363908, 523498032450490, 523498032457767, 523498032747468
523498032771338, 523498034556338, 523498034612597, 523498034615504, 523498034796576, 523498036937943, 523498036943961, 523498040324556
523498040341963, 523498042128333, 523498042143481, 523498042145407, 523498042397812, 523498044555030, 523498044561845, 523498045073228
523498045103098, 523498046130810, 523498046272549, 523498046278586, 523498046310808, 523498047360260, 523498047363704, 523498047578091
523498047595183, 523498049986640, 523498050032176, 523498050034343, 523498050542430, 523498052706278, 523498052711519, 523498053554584
523498053559158, 523498055270270, 523498055321306, 523498055324029, 523498056056521, 523498058250498, 523498058252609, 523498058513958
523498058529403, 523498059366986, 523498059394819, 523498059397005, 523498059462134, 523498060533937, 523498060536011, 523498060636677
523498060646232, 523498060760157, 523498060783416, 523498060785286, 523498060847749, 523498061896275, 523498061897719, 523498061940071
523498061942922, 523498062027866, 523498062049570, 523498062051292, 523498062095902, 523498063145632, 523498063146928, 523498063188687
523498063190984, 523498063273649, 523498063296205, 523498063297760, 523498063339352, 523498064407971, 523498064409675, 523498064448693
523498064451581, 523498064535766, 523498064558247, 523498064559914, 523498064601524, 523498065650384, 523498065651699, 523498065687161
523498065689346, 523498065770660, 523498065793086, 523498065794530, 523498065836326, 523498066884834, 523498066886260, 523498066916519
523498066918815, 523498066997962, 523498067018925, 523498067020666, 523498067059665, 523498068148673, 523498068152024, 523498068233468
523498068239838, 523498068379096, 523498068413299, 523498068415522, 523498068471484, 523498069521103, 523498069522862, 523498069625639
523498069632398, 523498071505230, 523498071611729, 523498071625044, 523498072029762, 523498074130906, 523498074132758, 523498074322608
523498074326386, 523498075220228, 523498075244247, 523498075246098, 523498075313505, 523498076382587, 523498076384272, 523498076436068
523498076441104, 523498076751194, 523498076774194, 523498076776212, 523498076819934, 523498077868553, 523498077869830, 523498077904867
523498077906793, 523498078002903, 523498078024718, 523498078026458, 523498078066810, 523498079115391, 523498079116706, 523498079152150
523498079154039, 523498079240001, 523498079260834, 523498079262594, 523498079302538, 523498080372082, 523498080374100, 523498080421341
523498080423674, 523498080557506, 523498080580709, 523498080582617, 523498080626839, 523498081676291, 523498081677642, 523498081712124
523498081714327, 523498081840178, 523498081861900, 523498081863363, 523498081905529, 523498082954944, 523498082956314, 523498082987962
523498083231756, 523498083335884, 523498083341051, 523498083342218, 523498083364051, 523498084431466, 523498084433873, 523498084537724
523498084548224, 523498084761518, 523498084791888, 523498084794795, 523498084861720, 523498085911672, 523498085913839, 523498086028079
523498086039727, 523498086276706, 523498086306039, 523498086308057, 523498086399926, 523498087451453, 523498087461804, 523498087879855
523498087894689, 523498088826994, 523498088853419, 523498088855697, 523498088919382, 523498089968778, 523498089970574, 523498090055036
523498090058388, 523498090278219, 523498090304145, 523498090305923, 523498090356200, 523498091405652, 523498091407022, 523498091449170
523498091451263, 523498091593835, 523498091616205, 523498091617891, 523498091662446, 523498092742879, 523498092745101, 523498092795286
523498092797841, 523498092941525, 523498092965339, 523498092967117, 523498093011709, 523498094057569, 523498094058847, 523498094094883
523498094096920, 523498094231585, 523498094252659, 523498094254326, 523498094297288, 523498095346722, 523498095348000, 523498095380851
