Inicio, Continuar,  Num_Muestras, Ampliacion_Array, Recepcion, Convolucion, Historial, Devolucion
530242449633502, 530242449778685, 530242449806074, 530242449808685, 530242449881499, 530242459637757, 530242459646534, 530242459936698
530242459952698, 530242460254398, 530242460292138, 530242460295471, 530242460380619, 530242470144950, 530242470149210, 530242470280801
530242470294801, 530242470488669, 530242470526853, 530242470530724, 530242470602408, 530242480375555, 530242480380407, 530242480559719
530242480856660, 530242480951956, 530242480958733, 530242480960307, 530242481040029, 530242490806786, 530242490812786, 530242490965618
530242490981377, 530242491182430, 530242491224763, 530242491228856, 530242491335928, 530242509623625, 530242509633329, 530242509784827
530242509794790, 530242509982621, 530242510019213, 530242510021750, 530242510088823, 530242528374890, 530242528387372, 530242528558666
530242528571110, 530242528767756, 530242528801830, 530242528804719, 530242528877051, 530242539474300, 530242539483170, 530242539621279
530242539626668, 530242539812314, 530242539852536, 530242539855591, 530242539931479, 530242550239564, 530242550246509, 530242550389322
530242550402637, 530242550608097, 530242550647171, 530242550649097, 530242550718911, 530242560660037, 530242560668981, 530242560813517
530242560822109, 530242560985311, 530242561018348, 530242561022514, 530242561093050, 530242571607762, 530242571618003, 530242571777742
530242571790983, 530242571967462, 530242572029221, 530242572032387, 530242572101849, 530242582693190, 530242582701579, 530242582855022
530242582864429, 530242583042168, 530242583074427, 530242583078427, 530242583144481, 530242592916350, 530242592923183, 530242593065108
530242593076737, 530242593230106, 530242593262883, 530242593266568, 530242593330864, 530242603245694, 530242603251972, 530242603406507
530242603420562, 530242603604431, 530242603640227, 530242603643060, 530242603730040, 530242614340344, 530242614348529, 530242614497509
530242614503305, 530242614669840, 530242614704247, 530242614706636, 530242614774358, 530242625467382, 530242625478012, 530242625646325
530242625654510, 530242625869007, 530242625898748, 530242625901396, 530242625995969, 530242635758171, 530242635763338, 530242635909725
530242635924114, 530242636136519, 530242636171685, 530242636173778, 530242636246425, 530242646478622, 530242646483770, 530242646620842
530242646634750, 530242646799211, 530242646830488, 530242646834673, 530242646904821, 530242656692819, 530242656705263, 530242656925464
530242656940816, 530242657116073, 530242657148554, 530242657151925, 530242657225979, 530242666986996, 530242666992756, 530242667122180
530242667136236, 530242667280938, 530242667309845, 530242667311771, 530242667385399, 530242677152342, 530242677161027, 530242677330137
530242677341748, 530242677729687, 530242677771076, 530242677778594, 530242677941796, 530242688015736, 530242688021254, 530242688182011
530242688195400, 530242688401805, 530242688436286, 530242688439675, 530242688530193, 530242698630280, 530242698635743, 530242698771093
530242698783963, 530242698930462, 530242698961961, 530242698964054, 530242699027275, 530242708800385, 530242708826477, 530242709229454
530242709245584, 530242709461840, 530242709499969, 530242709502229, 530242709863150, 530242719610297, 530242719615223, 530242719741185
