Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
1300215108571110, 1300215108572925, 1300215108740849, 1300215108781441, 1300215108907533, 1300215116584751, 8192
1300215116844211, 1300215116846471, 1300215116900174, 1300215116938266, 1300215117071857, 1300215130502128, 8191
1300215923247170, 1300215923249300, 1300215923443520, 1300215923503853, 1300215923640685, 1300215942056572, 8192
1300216746143814, 1300216746145943, 1300216746341812, 1300216746399663, 1300216746511347, 1300216760463280, 8191
1300217559868643, 1300217559870680, 1300217560093919, 1300217560144714, 1300217560291417, 1300217562380229, 8192
1300218377602765, 1300218377603469, 1300218377694579, 1300218377715023, 1300218377756245, 1300218378618292, 8191
1300219198215635, 1300219198217487, 1300219198380578, 1300219198438411, 1300219198530947, 1300219200750943, 8192
1300220019414037, 1300220019416222, 1300220019597831, 1300220019658331, 1300220019752718, 1300220021925604, 8191
1300220836604590, 1300220836606683, 1300220836750459, 1300220836810662, 1300220836901198, 1300220839051287, 8192
1300221655619440, 1300221655621440, 1300221655770383, 1300221655830752, 1300221655919288, 1300221657954731, 8191
1300222473386283, 1300222473386987, 1300222473472190, 1300222473491856, 1300222473532504, 1300222474327089, 8192
1300223292511687, 1300223292512391, 1300223292595483, 1300223292615816, 1300223292658556, 1300223293445882, 8191
1300224111695017, 1300224111695702, 1300224111785794, 1300224111805090, 1300224111847441, 1300224112652396, 8192
1300224932319535, 1300224932321443, 1300224932483293, 1300224932543737, 1300224932635328, 1300224934619086, 8191
1300226572063662, 1300226572065551, 1300226572243901, 1300226572304659, 1300226572400140, 1300226574411786, 8192
1300226575357258, 1300226575359110, 1300226575414220, 1300226575463257, 1300226575558126, 1300226577470477, 8191
1300227389808913, 1300227389811172, 1300227389973504, 1300227390032300, 1300227390125410, 1300227392145075, 8192
1300229027274007, 1300229027274803, 1300229027372876, 1300229027392413, 1300229027928482, 1300229029620261, 16383
1300230668057197, 1300230668059179, 1300230668220195, 1300230668278769, 1300230668369564, 1300230670412136, 8192
1300230671226406, 1300230671228294, 1300230671285572, 1300230671333442, 1300230671432237, 1300230673354884, 8191
1300231485613710, 1300231485615599, 1300231485777097, 1300231485836430, 1300231485927484, 1300231487906279, 8192
1300233125839239, 1300233125840979, 1300233126015459, 1300233126074607, 1300233126536584, 1300233130252620, 16383
1300234763879012, 1300234763880994, 1300234764071714, 1300234764131750, 1300234764223972, 1300234766244099, 8192
1300234768992497, 1300234768994794, 1300234769126477, 1300234769180440, 1300234769294068, 1300234771273733, 8191
1300235581413433, 1300235581415396, 1300235581576153, 1300235581634319, 1300235581729837, 1300235583705243, 8192
1300237218851249, 1300237218851805, 1300237218945359, 1300237218964785, 1300237219106302, 1300237220623139, 16383
1300238860023232, 1300238860025084, 1300238860195434, 1300238860253229, 1300238860586356, 1300238864459816, 16383
1300240498395724, 1300240498397798, 1300240498582370, 1300240498640814, 1300240498962959, 1300240502719384, 16383
1300242133752784, 1300242133753377, 1300242133852561, 1300242133872172, 1300242134012504, 1300242135432786, 16383
1300243772091944, 1300243772092499, 1300243772182276, 1300243772201369, 1300243772341127, 1300243773762445, 16383
1300245412109901, 1300245412111827, 1300245412279418, 1300245412337566, 1300245412431454, 1300245414458266, 8192
1300245415921474, 1300245415923492, 1300245415980140, 1300245416065546, 1300245416167119, 1300245418046489, 8191
1300246230364277, 1300246230366037, 1300246230534313, 1300246230590757, 1300246230681515, 1300246232791142, 8192
1300247867878297, 1300247867879131, 1300247867974963, 1300247867995481, 1300247868155609, 1300247869607539, 16383
