Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
1815338044177692, 1815338044178655, 1815338044301765, 1815338044327635, 1815338045019647, 1815338209606822, 16383
1815339677358215, 1815339677359030, 1815339677465510, 1815339677485084, 1815339677530028, 1815339754726656, 8192
1815339754885988, 1815339754886655, 1815339754913118, 1815339754930136, 1815339754999246, 1815339832675389, 8191
1815341315602576, 1815341315603428, 1815341315704371, 1815341315722908, 1815341315759852, 1815341395360679, 8192
1815341396400484, 1815341396401372, 1815341396447039, 1815341396466483, 1815341396504834, 1815341474015071, 8191
1815342953915602, 1815342953916453, 1815342954002656, 1815342954021082, 1815342954056267, 1815343031124119, 8192
1815343031265877, 1815343031266506, 1815343031292673, 1815343031309987, 1815343031345172, 1815343108308729, 8191
1815344592190293, 1815344592190979, 1815344592294496, 1815344592312903, 1815344592352255, 1815344669353607, 8192
1815344669655289, 1815344669655919, 1815344669696215, 1815344669713567, 1815344669755751, 1815344747701391, 8191
1815346230773796, 1815346230774962, 1815346230905146, 1815346230928165, 1815346230970461, 1815346308025257, 8192
1815346308119293, 1815346308120126, 1815346308145515, 1815346308162478, 1815346308204107, 1815346385129534, 8191
1815347868847858, 1815347868848784, 1815347868964820, 1815347868985208, 1815347869028634, 1815347946273021, 8192
1815347946381908, 1815347946382723, 1815347946410093, 1815347946429241, 1815347946473778, 1815348023610222, 8191
1815349507394136, 1815349507395136, 1815349507631875, 1815349507676578, 1815349507726837, 1815349588889777, 8192
1815349589077590, 1815349589078405, 1815349589107053, 1815349589126238, 1815349589179312, 1815349669116968, 8191
1815351146058986, 1815351146059820, 1815351146160059, 1815351146179226, 1815351146382779, 1815351302964958, 16383
1815352784353006, 1815352784353709, 1815352784456431, 1815352784475301, 1815352784620077, 1815352943491178, 16383
1815354422642876, 1815354422643598, 1815354422742838, 1815354422761079, 1815354422891133, 1815354576650988, 16383
1815356060955300, 1815356060956208, 1815356061056170, 1815356061074503, 1815356061205835, 1815356214941357, 16383
1815357699249613, 1815357699250298, 1815357699345464, 1815357699363723, 1815357699493648, 1815357853217558, 16383
1815359337530350, 1815359337531054, 1815359337631072, 1815359337649553, 1815359337779533, 1815359491499462, 16383
1815360975831198, 1815360975831901, 1815360975931604, 1815360975949252, 1815360976135787, 1815361131029704, 16383
1815362614127488, 1815362614128173, 1815362614220710, 1815362614239098, 1815362614378412, 1815362768191765, 16383
1815364252490592, 1815364252491425, 1815364252591276, 1815364252609776, 1815364252744015, 1815364409116973, 16383
1815365890773455, 1815365890774232, 1815365890874213, 1815365890892398, 1815365891032008, 1815366044860824, 16383
1815367529086112, 1815367529086668, 1815367529176408, 1815367529194796, 1815367529329739, 1815367683045816, 16383
1815369167353621, 1815369167354325, 1815369167453527, 1815369167471786, 1815369167607970, 1815369321368380, 16383
1815370805633555, 1815370805634369, 1815370805733405, 1815370805752461, 1815370805891330, 1815370959727220, 16383
1815372443958616, 1815372443959301, 1815372444064930, 1815372444084430, 1815372444223632, 1815372600862828, 16383
1815374082266343, 1815374082267010, 1815374082343639, 1815374082362620, 1815374082497675, 1815374236244621, 16383
1815375720552440, 1815375720553125, 1815375720651939, 1815375720670069, 1815375720806290, 1815375875807872, 16383
1815377358856758, 1815377358857536, 1815377358948202, 1815377358967313, 1815377359103108, 1815377512890331, 16383
