Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, 
1130068916105608, 1130068916106626, 1130068916216699, 1130068916234754, 1130068917017745, 1130068922227001, 16383
1130068923882390, 1130068923883482, 1130068923986426, 1130068924076739, 1130068924360921, 1130068929233200, 16383
1130068930839237, 1130068930840681, 1130068930951513, 1130068930969347, 1130068931182566, 1130068936241713, 16383
1130068937046278, 1130068937047018, 1130068937113240, 1130068937127443, 1130068937180184, 1130068940949419, 8192
1130068941820187, 1130068941823668, 1130068942217664, 1130068942317644, 1130068942877600, 1130068947955376, 16383
1130068949482377, 1130068949483229, 1130068949578969, 1130068949593765, 1130068949773282, 1130068954350156, 16383
1130068955152684, 1130068955153572, 1130068955223220, 1130068955238571, 1130068955303811, 1130068957711006, 8192
1130068957766672, 1130068957767580, 1130068957804913, 1130068957818820, 1130068957859616, 1130068960924433, 8191
1130068961670980, 1130068961672054, 1130068961741646, 1130068961758886, 1130068961914033, 1130068966486555, 16383
1130068967907558, 1130068967909076, 1130068967982112, 1130068967996871, 1130068968201184, 1130068972778447, 16383
1130068973609919, 1130068973611011, 1130068973712658, 1130068973736491, 1130068973789732, 1130068976902344, 8192
1130068977688724, 1130068977690576, 1130068977815075, 1130068977835686, 1130068978027813, 1130068983017849, 16383
1130068984633627, 1130068984636609, 1130068984826199, 1130068984855551, 1130068985200824, 1130068990440969, 16383
1130068991417717, 1130068991419698, 1130068991627066, 1130068991648974, 1130068991748898, 1130068994613792, 8192
1130068996322198, 1130068996323180, 1130068996562177, 1130068996596288, 1130068996910025, 1130069001717785, 16383
1130069003167676, 1130069003168565, 1130069003262212, 1130069003281768, 1130069003465654, 1130069008311637, 16383
1130069009745491, 1130069009747213, 1130069009840342, 1130069009859526, 1130069010044210, 1130069014732342, 16383
1130069015567795, 1130069015568628, 1130069015657350, 1130069015675201, 1130069015727701, 1130069018126674, 8192
1130069019598823, 1130069019599861, 1130069019707730, 1130069019727674, 1130069019903302, 1130069024695506, 16383
1130069026187323, 1130069026189749, 1130069026366765, 1130069026398413, 1130069026707298, 1130069031504614, 16383
1130069032388049, 1130069032389160, 1130069032492511, 1130069032514270, 1130069032560288, 1130069035108092, 8192
1130069036638779, 1130069036639667, 1130069036765518, 1130069036789518, 1130069036981886, 1130069041678332, 16383
1130069043122483, 1130069043123224, 1130069043216074, 1130069043233389, 1130069043397498, 1130069048161796, 16383
1130069049551188, 1130069049551836, 1130069049585113, 1130069049598409, 1130069049722834, 1130069054240060, 16383
1130069055002867, 1130069055003496, 1130069055031533, 1130069055043607, 1130069055075384, 1130069057483653, 8192
1130069057515949, 1130069057516560, 1130069057554671, 1130069057569726, 1130069057611504, 1130069059937792, 8191
1130069059991551, 1130069059992273, 1130069060084161, 1130069060100439, 1130069060142920, 1130069062743223, 8192
1130069062884185, 1130069062884814, 1130069063082534, 1130069063101997, 1130069063148682, 1130069065670116, 8191
1130069065711764, 1130069065712542, 1130069065747560, 1130069065761319, 1130069065794744, 1130069068027441, 8192
1130069068059237, 1130069068059848, 1130069068096385, 1130069068110477, 1130069068140070, 1130069070342008, 8191
1130069070366100, 1130069070366841, 1130069070392340, 1130069070405414, 1130069070430710, 1130069072642296, 8192
1130069072668741, 1130069072669352, 1130069072694592, 1130069072707925, 1130069072733295, 1130069075136213, 8191
1130069075187712, 1130069075188360, 1130069075244934, 1130069075262433, 1130069075303100, 1130069077904996, 8192
1130069077959236, 1130069077959995, 1130069078015087, 1130069078029124, 1130069078067827, 1130069080320283, 8191
1130069080350561, 1130069080351172, 1130069080378320, 1130069080392060, 1130069080422930, 1130069082616220, 8192
1130069082640924, 1130069082641646, 1130069082668831, 1130069082682331, 1130069082711682, 1130069085048267, 8191
1130069085188543, 1130069085189247, 1130069085226635, 1130069085240320, 1130069085275190, 1130069087522276, 8192
1130069087547146, 1130069087547757, 1130069087577368, 1130069087591127, 1130069087621738, 1130069089967378, 8191
1130069089992563, 1130069089993155, 1130069090026303, 1130069090039933, 1130069090067266, 1130069092430961, 8192
1130069092479960, 1130069092480701, 1130069092535830, 1130069092552367, 1130069092593515, 1130069095284855, 8191
1130069095338706, 1130069095339447, 1130069095392372, 1130069095410223, 1130069095451482, 1130069097744512, 8192
1130069097774197, 1130069097774789, 1130069097803585, 1130069097817307, 1130069097849437, 1130069100067745, 8191
1130069100093893, 1130069100094485, 1130069100127263, 1130069100141522, 1130069100173151, 1130069102374848, 8192
1130069102399978, 1130069102400570, 1130069102426607, 1130069102440144, 1130069102469181, 1130069104694433, 8191
1130069104717859, 1130069104718470, 1130069104742395, 1130069104755303, 1130069104787265, 1130069107009203, 8192
1130069107041073, 1130069107041684, 1130069107073388, 1130069107087610, 1130069107115665, 1130069109480786, 8191
1130069109544360, 1130069109545082, 1130069109596155, 1130069109611914, 1130069109651062, 1130069112112108, 8192
1130069112156015, 1130069112156737, 1130069112197255, 1130069112212403, 1130069112244977, 1130069114456008, 8191
1130069114480878, 1130069114481470, 1130069114507507, 1130069114520488, 1130069114549432, 1130069116874184, 8192
1130069116904850, 1130069116905461, 1130069116934961, 1130069116948646, 1130069116977868, 1130069119194547, 8191
1130069119222528, 1130069119223268, 1130069119255583, 1130069119270379, 1130069119302490, 1130069121521076, 8192
1130069121548316, 1130069121548909, 1130069121575705, 1130069121589390, 1130069121617871, 1130069123818827, 8191
1130069123853438, 1130069123854160, 1130069123890178, 1130069123906401, 1130069123946382, 1130069126363836, 8192
1130069126440057, 1130069126441187, 1130069126599685, 1130069126630851, 1130069126708609, 1130069129052472, 8191
1130069129103730, 1130069129104434, 1130069129146508, 1130069129161063, 1130069129198229, 1130069131547388, 8192
1130069131574295, 1130069131574888, 1130069131605610, 1130069131619554, 1130069131650905, 1130069133902139, 8191
1130069133929824, 1130069133930417, 1130069133956213, 1130069133969379, 1130069134000768, 1130069136220705, 8192
1130069136245020, 1130069136245613, 1130069136270909, 1130069136283797, 1130069136309945, 1130069138494439, 8191
1130069138516513, 1130069138517235, 1130069138539790, 1130069138553346, 1130069138579253, 1130069140821579, 8192
1130069140847208, 1130069140847801, 1130069140876079, 1130069140889338, 1130069140919060, 1130069143253070, 8191
1130069143314569, 1130069143315310, 1130069143367235, 1130069143386643, 1130069143440031, 1130069145889725, 8192
1130069145938317, 1130069145939003, 1130069145974187, 1130069145988465, 1130069146025335, 1130069148285717, 8191
1130069148319939, 1130069148320642, 1130069148348401, 1130069148362049, 1130069148395623, 1130069150703986, 8192
1130069150730245, 1130069150730856, 1130069150757911, 1130069150771578, 1130069150798688, 1130069153037163, 8191
1130069153062255, 1130069153062829, 1130069153087514, 1130069153100477, 1130069153128477, 1130069155323544, 8192
1130069155347748, 1130069155348340, 1130069155373970, 1130069155387581, 1130069155416192, 1130069157771091, 8191
1130069157806053, 1130069157806683, 1130069157849571, 1130069157864942, 1130069157901034, 1130069160325691, 8192
1130069160388543, 1130069160389302, 1130069160438838, 1130069160453912, 1130069160492764, 1130069163182474, 8191
1130069163340694, 1130069163341731, 1130069163520933, 1130069163561007, 1130069163664783, 1130069166074145, 8192
1130069166108404, 1130069166108996, 1130069166141626, 1130069166155329, 1130069166187384, 1130069168406433, 8191
1130069168433970, 1130069168434562, 1130069168460655, 1130069168474303, 1130069168506210, 1130069170700629, 8192
1130069170723074, 1130069170723685, 1130069170748277, 1130069170761721, 1130069170791184, 1130069173120065, 8191
1130069173238434, 1130069173239156, 1130069173271545, 1130069173285248, 1130069173319840, 1130069175630499, 8192
1130069175680591, 1130069175681221, 1130069175734665, 1130069175751665, 1130069175790146, 1130069178443319, 8191
1130069178497115, 1130069178497856, 1130069178545448, 1130069178560022, 1130069178594836, 1130069180845570, 8192
1130069180875088, 1130069180875699, 1130069180902106, 1130069180915754, 1130069180945421, 1130069183145322, 8191
1130069183169618, 1130069183170210, 1130069183193988, 1130069183207191, 1130069183235654, 1130069185474573, 8192
1130069185505054, 1130069185505665, 1130069185532721, 1130069185546850, 1130069185580609, 1130069187771695, 8191
1130069187795399, 1130069187796010, 1130069187819417, 1130069187832583, 1130069187860713, 1130069190099002, 8192
1130069190124483, 1130069190125131, 1130069190155501, 1130069190168964, 1130069190195205, 1130069192606103, 8191
1130069192665436, 1130069192665992, 1130069192709676, 1130069192726880, 1130069192780101, 1130069195087557, 8192
1130069195134852, 1130069195135464, 1130069195173778, 1130069195190667, 1130069195226481, 1130069197662287, 8191
1130069197693360, 1130069197693953, 1130069197720286, 1130069197733990, 1130069197763860, 1130069199965705, 8192
1130069199989742, 1130069199990334, 1130069200035260, 1130069200048667, 1130069200086685, 1130069202407103, 8191
1130069202429492, 1130069202430103, 1130069202454121, 1130069202466992, 1130069202495176, 1130069204716411, 8192
1130069204739466, 1130069204740058, 1130069204766466, 1130069204780336, 1130069204806261, 1130069207055699, 8191
1130069207096217, 1130069207096828, 1130069207129772, 1130069207144587, 1130069207182068, 1130069209548022, 8192
1130069209605966, 1130069209606577, 1130069209663003, 1130069209678188, 1130069209724095, 1130069212069272, 8191
1130069212122827, 1130069212123604, 1130069212173030, 1130069212190715, 1130069212235196, 1130069214525633, 8192
1130069214559725, 1130069214560317, 1130069214594224, 1130069214607891, 1130069214642576, 1130069217016104, 8191
1130069217071104, 1130069217071826, 1130069217112640, 1130069217127733, 1130069217169584, 1130069219492410, 8192
1130069220120458, 1130069220121180, 1130069220174439, 1130069220189754, 1130069220222938, 1130069222678207, 8191
1130069223496161, 1130069223496846, 1130069223551549, 1130069223568141, 1130069223602696, 1130069225960188, 8192
1130069226362350, 1130069226363110, 1130069226441942, 1130069226461183, 1130069226499460, 1130069228835526, 8191
1130069228881600, 1130069228882211, 1130069228919470, 1130069228933673, 1130069228964321, 1130069231315998, 8192
1130069231343405, 1130069231343998, 1130069231372442, 1130069231385738, 1130069231414071, 1130069233640120, 8191
1130069233665768, 1130069233666360, 1130069233693601, 1130069233707119, 1130069233737970, 1130069235938520, 8192
1130069235962001, 1130069235962593, 1130069235990982, 1130069236018408, 1130069236054407, 1130069238253697, 8191
1130069238277641, 1130069238278252, 1130069238301419, 1130069238314363, 1130069238341252, 1130069240677281, 8192
1130069240705595, 1130069240706188, 1130069240734910, 1130069240748780, 1130069240779039, 1130069243081050, 8191
1130069243132864, 1130069243133642, 1130069243190956, 1130069243209030, 1130069243253881, 1130069245713761, 8192
1130069245762223, 1130069245763001, 1130069245802686, 1130069245816963, 1130069245853259, 1130069248098900, 8191
1130069248129993, 1130069248130585, 1130069248158270, 1130069248171770, 1130069248200807, 1130069250404763, 8192
1130069250429781, 1130069250430522, 1130069250461911, 1130069250476133, 1130069250502466, 1130069252756848, 8191
1130069252927975, 1130069252928716, 1130069252978067, 1130069252995974, 1130069253043011, 1130069255422095, 8192
1130069255452928, 1130069255453539, 1130069255484039, 1130069255498057, 1130069255528816, 1130069257794698, 8191
1130069257838345, 1130069257838975, 1130069257886363, 1130069257900697, 1130069257939937, 1130069260309225, 8192
1130069260341484, 1130069260342243, 1130069260370002, 1130069260383817, 1130069260416427, 1130069262614606, 8191
1130069262640013, 1130069262640643, 1130069262667050, 1130069262680679, 1130069262711475, 1130069265062171, 8192
1130069265144133, 1130069265144837, 1130069265186596, 1130069265201743, 1130069265232614, 1130069267445385, 8191
1130069267468959, 1130069267469551, 1130069267494236, 1130069267508217, 1130069267537828, 1130069269870691, 8192
1130069269897190, 1130069269897801, 1130069269924116, 1130069269938079, 1130069269963245, 1130069272174090, 8191
1130069272199183, 1130069272199794, 1130069272222479, 1130069272236182, 1130069272262626, 1130069274459435, 8192
1130069274483305, 1130069274483916, 1130069274509175, 1130069274521934, 1130069274548341, 1130069276764205, 8191
1130069276789390, 1130069276789983, 1130069276814519, 1130069276828075, 1130069276855704, 1130069279160937, 8192
1130069279184770, 1130069279185381, 1130069279210140, 1130069279223529, 1130069279250584, 1130069281448096, 8191
1130069281470318, 1130069281470929, 1130069281494522, 1130069281508114, 1130069281536151, 1130069283767959, 8192
1130069283797848, 1130069283798440, 1130069283830940, 1130069283845421, 1130069283877976, 1130069286106432, 8191
1130069286132617, 1130069286133210, 1130069286158265, 1130069286171580, 1130069286199209, 1130069288423777, 8192
1130069288449202, 1130069288449813, 1130069288476072, 1130069288489554, 1130069288518053, 1130069290708732, 8191
1130069290729713, 1130069290730399, 1130069290754917, 1130069290767880, 1130069290796268, 1130069293031947, 8192
1130069293061909, 1130069293062520, 1130069293088409, 1130069293101853, 1130069293129390, 1130069295322995, 8191
1130069295344994, 1130069295345569, 1130069295367068, 1130069295380698, 1130069295405383, 1130069297832226, 8192
1130069297887225, 1130069297887929, 1130069297932039, 1130069297947150, 1130069297986835, 1130069300311771, 8191
1130069300354790, 1130069300355401, 1130069300393659, 1130069300408863, 1130069300453733, 1130069302830298, 8192
1130069303608012, 1130069303608623, 1130069303655474, 1130069303671770, 1130069303706270, 1130069306057021, 8192
1130069306108280, 1130069306108872, 1130069306149594, 1130069306164168, 1130069306211427, 1130069308539567, 8191
1130069308574770, 1130069308575511, 1130069308616696, 1130069308631640, 1130069308661788, 1130069310889985, 8192
1130069310918040, 1130069310918577, 1130069310944781, 1130069310958317, 1130069310989836, 1130069313334476, 8191
1130069313361975, 1130069313362605, 1130069313389123, 1130069313402827, 1130069313433715, 1130069315622653, 8192
1130069315646505, 1130069315647079, 1130069315669523, 1130069315682838, 1130069315709671, 1130069317931127, 8191
1130069317955534, 1130069317956146, 1130069317983145, 1130069317996312, 1130069318022182, 1130069320243342, 8192
1130069320268638, 1130069320269230, 1130069320294082, 1130069320306823, 1130069320338970, 1130069322646148, 8191
1130069322669703, 1130069322670314, 1130069322696184, 1130069322709110, 1130069322735943, 1130069324940048, 8192
