Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
2424263508078640, 2424263508080047, 2424263508192620, 2424263508209917, 2424263508905597, 2424263608320562, 16383
2424264324282464, 2424264324283224, 2424264324389797, 2424264324411019, 2424264324466333, 2424264357172405, 8192
2424265144708979, 2424265144710850, 2424265144875922, 2424265144937552, 2424265145064051, 2424265183695689, 8191
2424265966128134, 2424265966130338, 2424265966308596, 2424265966366984, 2424265966551779, 2424265999291573, 8192
2424266782998396, 2424266783000581, 2424266783175839, 2424266783235617, 2424266783384338, 2424266819585365, 8191
2424267600733095, 2424267600733818, 2424267600844687, 2424267600866261, 2424267600935575, 2424267633565074, 8192
2424268419856061, 2424268419856802, 2424268419958987, 2424268419978783, 2424268420056967, 2424268455679536, 8191
2424269239086711, 2424269239087581, 2424269239197951, 2424269239218710, 2424269239287302, 2424269271686765, 8192
2424270058189176, 2424270058190009, 2424270058297638, 2424270058318156, 2424270058385693, 2424270094005835, 8191
2424270877417083, 2424270877418120, 2424270877540786, 2424270877562879, 2424270877613341, 2424270910140747, 8192
2424271697933295, 2424271697935258, 2424271698110035, 2424271698194868, 2424271698291978, 2424271734328228, 8191
2424272517161238, 2424272517163201, 2424272517333052, 2424272517413681, 2424272517506347, 2424272549712033, 8192
2424273336713771, 2424273336715901, 2424273336858974, 2424273336934547, 2424273337060528, 2424273373005112, 8191
2424274155348717, 2424274155350643, 2424274155512864, 2424274155570326, 2424274155705177, 2424274187731532, 8192
2424274976117035, 2424274976118961, 2424274976297164, 2424274976378737, 2424274976493514, 2424275015347614, 8191
2424275793672988, 2424275793674895, 2424275793852005, 2424275793914079, 2424275794013967, 2424275826953888, 8192
2424276614083493, 2424276614085400, 2424276614275862, 2424276614337639, 2424276614488157, 2424276650587536, 8191
2424277434123666, 2424277434125703, 2424277434299795, 2424277434392479, 2424277434491793, 2424277466476351, 8192
2424278249647521, 2424278249648224, 2424278249737057, 2424278249757390, 2424278249820038, 2424278285270367, 8191
2424279068846069, 2424279068846792, 2424279068945087, 2424279068965365, 2424279069030642, 2424279101468993, 8192
2424279889480199, 2424279889482199, 2424279889658587, 2424279889751734, 2424279889870104, 2424279925874984, 8191
2424280708594043, 2424280708595969, 2424280708771949, 2424280708831597, 2424280708979078, 2424280741008246, 8192
2424281527672887, 2424281527674813, 2424281527845515, 2424281527929792, 2424281528121254, 2424281563930358, 8191
2424282346839766, 2424282346841674, 2424282347020302, 2424282347115098, 2424282347243893, 2424282379180785, 8192
2424283164564433, 2424283164565137, 2424283164660340, 2424283164680914, 2424283164746321, 2424283200343778, 8191
2424283983757941, 2424283983758644, 2424283983852107, 2424283983872366, 2424283983940773, 2424284016254106, 8192
2424284802845300, 2424284802846004, 2424284802944892, 2424284802966225, 2424284803033761, 2424284838765477, 8191
2424285623463869, 2424285623465832, 2424285623645294, 2424285623726904, 2424285623846070, 2424285655981108, 8192
2424286442579505, 2424286442581449, 2424286442760485, 2424286442855169, 2424286442980557, 2424286478934974, 8191
2424287261815268, 2424287261817231, 2424287262002174, 2424287262064155, 2424287262181691, 2424287294271304, 8192
2424288080916680, 2424288080918643, 2424288081099067, 2424288081184011, 2424288081306640, 2424288117179465, 8191
2424288898652508, 2424288898653101, 2424288898742563, 2424288898762952, 2424288898823729, 2424288931145285, 8192
2424289717751308, 2424289717752011, 2424289717847251, 2424289717868066, 2424289717920843, 2424289753450078, 8191
2424290538396817, 2424290538398909, 2424290538586538, 2424290538645982, 2424290538797388, 2424290572981429, 8192
2424291357493855, 2424291357495763, 2424291357675039, 2424291357736446, 2424291357884445, 2424291393791733, 8191
2424292176706578, 2424292176708578, 2424292176884539, 2424292176944946, 2424292177085445, 2424292213798523, 8192
2424292995740837, 2424292995742745, 2424292995918373, 2424292995999947, 2424292996151297, 2424293032301898, 8191
2424293813565513, 2424293813566235, 2424293813667753, 2424293813688438, 2424293813747993, 2424293846961727, 8192
2424294632669049, 2424294632669752, 2424294632766733, 2424294632788196, 2424294632851936, 2424294668438652, 8191
2424295451851194, 2424295451851916, 2424295451954212, 2424295451974675, 2424295452083100, 2424295485051335, 8192
2424296272405551, 2424296272407458, 2424296272582457, 2424296272666808, 2424296272782641, 2424296308767020, 8191
2424297091697935, 2424297091699861, 2424297091878433, 2424297092203005, 2424297092447114, 2424297125930938, 8192
2424297910875023, 2424297910876911, 2424297911044521, 2424297911124298, 2424297911218779, 2424297947216881, 8191
2424298729908037, 2424298729909981, 2424298730082091, 2424298730175831, 2424298730288312, 2424298763902616, 8192
2424299547558857, 2424299547559579, 2424299547654245, 2424299547674485, 2424299547736300, 2424299583238294, 8191
2424300366752646, 2424300366753331, 2424300366853164, 2424300366873238, 2424300366934459, 2424300400083749, 8192
2424301185848768, 2424301185849491, 2424301185945027, 2424301185965082, 2424301186014082, 2424301221553242, 8191
2424302005073019, 2424302005073815, 2424302005177000, 2424302005197759, 2424302005254425, 2424302038351844, 8192
2424302825616889, 2424302825618888, 2424302825796035, 2424302825889849, 2424302826013756, 2424302861921339, 8191
2424303644827082, 2424303644829045, 2424303644977822, 2424303645066988, 2424303645169098, 2424303678697070, 8192
2424304463883906, 2424304463885850, 2424304464113163, 2424304464215644, 2424304464332717, 2424304500299189, 8191
2424305283060598, 2424305283062487, 2424305283245856, 2424305283337893, 2424305283452392, 2424305317019159, 8192
2424306100743875, 2424306100744616, 2424306100845930, 2424306100866282, 2424306100924726, 2424306137353083, 8191
2424306919953974, 2424306919954714, 2424306920069176, 2424306920109269, 2424306920156194, 2424306953180892, 8192
