Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
611488264251997, 611488264252812, 611488264322459, 611488264336737, 611488264387162, 611488274298707, 8192
611488605168776, 611488605169776, 611488605276256, 611488605296386, 611488605371681, 611488613616780, 8191
611488947115637, 611488947116322, 611488947231024, 611488947252876, 611488947301616, 611488960630422, 8192
611489287700863, 611489287701956, 611489287783307, 611489287802566, 611489287850010, 611489296200664, 8191
611489632064217, 611489632064921, 611489632174976, 611489632194364, 611489632246660, 611489636649984, 8192
611489971085386, 611489971086164, 611489971193237, 611489971213070, 611489971263088, 611489975134603, 8191
611490312448957, 611490312449809, 611490312556937, 611490312577048, 611490312630103, 611490316927373, 8192
611490655272068, 611490655272919, 611490655353715, 611490655373807, 611490655426288, 611490660894490, 8191
611490994280422, 611490994281144, 611490994373125, 611490994393143, 611490994441865, 611490998288899, 8192
611491337797507, 611491337798303, 611491337874932, 611491337894469, 611491337944857, 611491341838335, 8191
611491677871646, 611491677872424, 611491677975423, 611491677995682, 611491678052015, 611491681858697, 8192
611492018951757, 611492018952590, 611492019059367, 611492019079866, 611492019130792, 611492022909530, 8191
611492361309539, 611492361310335, 611492361413056, 611492361433074, 611492361486352, 611492366101137, 8192
611492700856332, 611492700857035, 611492700958534, 611492700978386, 611492701026867, 611492705113880, 8191
611493042894210, 611493042894932, 611493042981338, 611493043001209, 611493043048245, 611493046840909, 8192
611493385737839, 611493385739783, 611493385882133, 611493385941429, 611493386040928, 611493397033906, 8191
611493724961690, 611493724963765, 611493725108559, 611493725167836, 611493725264373, 611493736944825, 8192
611494066239410, 611494066241354, 611494066404315, 611494066463574, 611494066563814, 611494077626643, 8191
611494409640959, 611494409642922, 611494409798216, 611494409857068, 611494409957604, 611494420940896, 8192
611494750888771, 611494750890808, 611494751056195, 611494751116343, 611494751217434, 611494762220430, 8191
611495090150104, 611495090151974, 611495090329861, 611495090390860, 611495090561544, 611495101731668, 8192
611495431425323, 611495431427286, 611495431558784, 611495431618173, 611495431715598, 611495442698539, 8191
611495772738690, 611495772740542, 611495772870966, 611495772928651, 611495773026594, 611495784028609, 8192
611496116175997, 611496116178146, 611496116335440, 611496116394829, 611496116494198, 611496127595508, 8191
611496455341387, 611496455342202, 611496455447423, 611496455467663, 611496455518718, 611496459337327, 8192
611496796602125, 611496796602995, 611496796705383, 611496796725438, 611496796770882, 611496802327583, 8191
611497138661317, 611497138662132, 611497138768853, 611497138789130, 611497138835611, 611497142644442, 8192
611497479925610, 611497479926184, 611497480051368, 611497480073090, 611497480114108, 611497483907143, 8191
611497820556003, 611497820556706, 611497820641002, 611497820660668, 611497820703594, 611497824820032, 8192
611498161820740, 611498161821462, 611498161910702, 611498161930035, 611498161976109, 611498165861457, 8191
611498503874914, 611498503875599, 611498503983672, 611498504022524, 611498504071671, 611498507874687, 8192
611498848143917, 611498848144917, 611498848268601, 611498848289137, 611498848343433, 611498868897311, 8191
611499187998558, 611499188027817, 611499188188445, 611499188246907, 611499188342239, 611499199341588, 8192
611499527224687, 611499527226557, 611499527391648, 611499527452981, 611499527546313, 611499538790400, 8191
611499870623717, 611499870625680, 611499870785456, 611499870844826, 611499870942547, 611499881958247, 8192
611500209828291, 611500209830217, 611500209996734, 611500210054011, 611500210151621, 611500221269635, 8191
611500551103843, 611500551105806, 611500551237860, 611500551294767, 611500551386933, 611500562351707, 8192
611500892446135, 611500892448321, 611500892591782, 611500892649300, 611500892746929, 611500903766295, 8191
611501233749428, 611501233751539, 611501233893871, 611501233953481, 611501234048017, 611501245059866, 8192
611501577125255, 611501577127292, 611501577296105, 611501577355289, 611501577450640, 611501589074889, 8191
611501916422327, 611501916424198, 611501916579474, 611501916636936, 611501916734880, 611501927734728, 8192
611502257626565, 611502257627139, 611502257693972, 611502257713194, 611502257761675, 611502261567487, 8191
611502599619165, 611502599619906, 611502599691146, 611502599710368, 611502599757534, 611502603555476, 8192
611502940946069, 611502940946809, 611502941050771, 611502941070586, 611502941118345, 611502944919472, 8191
611503281553535, 611503281554109, 611503281637238, 611503281656923, 611503281703682, 611503285503105, 8192
611503622879624, 611503622880401, 611503622952882, 611503622973493, 611503623021659, 611503626821564, 8191
611503964895335, 611503964896075, 611503964973463, 611503964993000, 611503965040018, 611503968829442, 8192
611504305513282, 611504305514116, 611504305621707, 611504305641892, 611504305690817, 611504309519037, 8191
611504647495438, 611504647496160, 611504647570678, 611504647590104, 611504647636122, 611504651423693, 8192
611504990343510, 611504990345640, 611504990503583, 611504990562064, 611504990658396, 611505001729262, 8191
611505329543065, 611505329544954, 611505329710508, 611505329769471, 611505329864395, 611505340863318, 8192
611505670832006, 611505670833932, 611505670993653, 611505671051170, 611505671146225, 611505682177203, 8191
611506014169999, 611506014172036, 611506014332405, 611506014389942, 611506014484255, 611506025509085, 8192
611506353475664, 611506353477572, 611506353615422, 611506353673236, 611506353765809, 611506364992378, 8191
611506696928897, 611506696930879, 611506697091432, 611506697149895, 611506697247135, 611506708508702, 8192
611507036122082, 611507036124230, 611507036288487, 611507036348505, 611507036446875, 611507047494426, 8191
611507377406004, 611507377407930, 611507377555873, 611507377613816, 611507377710001, 611507388701312, 8192
611507718656704, 611507718658815, 611507718816924, 611507718874702, 611507718971701, 611507729999586, 8191
611508062067956, 611508062069974, 611508062251898, 611508062312620, 611508062413304, 611508073447874, 8192
611508401242251, 611508401242918, 611508401313565, 611508401333010, 611508401375806, 611508405175118, 8191
611508742532451, 611508742533062, 611508742608654, 611508742627987, 611508742673005, 611508746697537, 8192
611509083833317, 611509083834058, 611509083923261, 611509083943779, 611509083990390, 611509087784313, 8191
611509425157313, 611509425158072, 611509425232979, 611509425252386, 611509425295571, 611509429282085, 8192
611509767183227, 611509767183931, 611509767279911, 611509767300059, 611509767345318, 611509771146945, 8191
611510108518778, 611510108519482, 611510108613907, 611510108633795, 611510108683721, 611510112474385, 8192
611510449074578, 611510449075318, 611510449179966, 611510449200058, 611510449251798, 611510453110202, 8191
611510791120436, 611510791120992, 611510791197824, 611510791217250, 611510791262786, 611510795052191, 8192
611511131869845, 611511131871863, 611511134133710, 611511134200839, 611511134295634, 611511145457851, 8191
611511473151859, 611511473153656, 611511473301728, 611511473359450, 611511473451856, 611511484447112, 8192
611511814459114, 611511814461114, 611511814618612, 611511814677593, 611511814774037, 611511825786329, 8191
611512155746665, 611512155748721, 611512155913090, 611512155971200, 611512156110162, 611512167121121, 8192
611512499115362, 611512499117251, 611512499264064, 611512499322026, 611512499416303, 611512510406781, 8191
611512838417785, 611512838419785, 611512838582580, 611512838641172, 611512838734949, 611512849779723, 8192
611513179649856, 611513179651874, 611513179809576, 611513179867742, 611513179964630, 611513190990441, 8191
611513523020422, 611513523022533, 611513523174143, 611513523232772, 611513523327141, 611513534332841, 8192
611513862361253, 611513862363235, 611513862491900, 611513862548622, 611513862644750, 611513873640469, 8191
611514203634323, 611514203636341, 611514203774970, 611514203833062, 611514203927709, 611514215008223, 8192
611514544853597, 611514544854190, 611514544935856, 611514544955911, 611514545002559, 611514548862129, 8191
611514886883122, 611514886883844, 611514886949566, 611514886969140, 611514887014769, 611514890798377, 8192
611515228190340, 611515228191043, 611515228264524, 611515228283839, 611515228332634, 611515232124761, 8191
611515568810194, 611515568810935, 611515568889582, 611515568909341, 611515568951470, 611515572808652, 8192
611515910082504, 611515910083227, 611515910171911, 611515910191651, 611515910238466, 611515914023445, 8191
611516252092548, 611516252093678, 611516252222713, 611516252242750, 611516252298249, 611516256894183, 8192
611516593434784, 611516593435506, 611516593530579, 611516593550264, 611516593594263, 611516597391557, 8191
611516934754575, 611516934755297, 611516934839000, 611516934858741, 611516934908147, 611516938688904, 8192
611517275429929, 611517275431910, 611517275604390, 611517275666204, 611517275759814, 611517286774792, 8191
611517618781477, 611517618783458, 611517618935605, 611517618993882, 611517619088381, 611517630051192, 8192
611517958119029, 611517958121011, 611517958300028, 611517958361657, 611517958458267, 611517969904832, 8191
