Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
1810362436960665, 1810362436961665, 1810362437066885, 1810362437086885, 1810362438079410, 1810362472230818, 16383
1810363252985294, 1810363252986387, 1810363253095163, 1810363253115552, 1810363253167496, 1810363267523028, 8192
1810364070148429, 1810364070149281, 1810364070250668, 1810364070271483, 1810364070333741, 1810364077445527, 8191
1810364889313799, 1810364889314521, 1810364889415334, 1810364889435519, 1810364889479871, 1810364896564064, 8192
1810365708418410, 1810365708419151, 1810365708517760, 1810365708537223, 1810365708582056, 1810365715624657, 8191
1810366527664167, 1810366527664871, 1810366527766111, 1810366527785962, 1810366527829110, 1810366535103949, 8192
1810367346713705, 1810367346714427, 1810367346808537, 1810367346828703, 1810367346868888, 1810367353932156, 8191
1810368165910648, 1810368165911240, 1810368166012202, 1810368166032387, 1810368166074313, 1810368173142802, 8192
1810368985011499, 1810368985012240, 1810368985106498, 1810368985126646, 1810368985168220, 1810368992153507, 8191
1810369804218312, 1810369804219035, 1810369804315830, 1810369804336255, 1810369804381885, 1810369811352857, 8192
1810370623313108, 1810370623313849, 1810370623409051, 1810370623428959, 1810370623469699, 1810370630460912, 8191
1810371442510291, 1810371442511032, 1810371442597235, 1810371442617494, 1810371442658753, 1810371449633484, 8192
1810372261617272, 1810372261617994, 1810372261712437, 1810372261732715, 1810372261776048, 1810372268751317, 8191
1810373080809640, 1810373080810399, 1810373080905695, 1810373080925676, 1810373080968860, 1810373087937833, 8192
1810373899903213, 1810373899903935, 1810373900016045, 1810373900039175, 1810373900079970, 1810373907038517, 8191
1810374719112766, 1810374719113470, 1810374719210580, 1810374719229931, 1810374719273894, 1810374726256144, 8192
1810375538211450, 1810375538212191, 1810375538309301, 1810375538329282, 1810375538372559, 1810375545326921, 8191
1810376357411021, 1810376357411614, 1810376357498687, 1810376357517872, 1810376357557038, 1810376364514326, 8192
1810377184073837, 1810377184076004, 1810377184276853, 1810377184338297, 1810377184435129, 1810377228609177, 8191
1810377997149944, 1810377997151833, 1810377997329127, 1810377997385849, 1810377997480718, 1810378021770373, 8192
1810378816254961, 1810378816256979, 1810378816398126, 1810378816456829, 1810378816550216, 1810378837080898, 8191
1810379635435976, 1810379635437958, 1810379635583086, 1810379635640752, 1810379635739399, 1810379656274839, 8192
1810380453119213, 1810380453119954, 1810380453219193, 1810380453239434, 1810380453281433, 1810380460256110, 8191
1810381272369505, 1810381272370431, 1810381272488874, 1810381272509337, 1810381272558781, 1810381279558938, 8192
1810382092771599, 1810382092772321, 1810382092870042, 1810382092890486, 1810382092934523, 1810382099911291, 8191
1810383730378545, 1810383730379249, 1810383730479229, 1810383730499469, 1810383730712337, 1810383744468247, 16383
1810385368717315, 1810385368718019, 1810385368818462, 1810385368838647, 1810385368981942, 1810385382795796, 16383
1810387007002142, 1810387007002864, 1810387007106992, 1810387007127455, 1810387007266731, 1810387021073104, 16383
1810388645291004, 1810388645291782, 1810388645391651, 1810388645411410, 1810388645548094, 1810388659372281, 16383
1810390283607422, 1810390283608107, 1810390283711402, 1810390283731420, 1810390283871104, 1810390298064212, 16383
1810391921899654, 1810391921900357, 1810391922001615, 1810391922021189, 1810391922157502, 1810391935970856, 16383
1810393560200867, 1810393560201570, 1810393560302384, 1810393560322865, 1810393560460308, 1810393574234014, 16383
1810395198488209, 1810395198488783, 1810395198589578, 1810395198608800, 1810395198746965, 1810395212539115, 16383
1810396836795884, 1810396836796624, 1810396836897401, 1810396836917438, 1810396837055362, 1810396850836605, 16383
1810398475098576, 1810398475099299, 1810398475200797, 1810398475220353, 1810398475355647, 1810398489131798, 16383
