Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, 
1128014151055784, 1128014151056580, 1128014151185301, 1128014151207542, 1128014151860516, 1128014163538549, 16383
1128014164889571, 1128014164890534, 1128014164993496, 1128014165010570, 1128014165068328, 1128014170771893, 8192
1128014172266320, 1128014172266987, 1128014172362764, 1128014172383745, 1128014172595169, 1128014182955754, 16383
1128014184435774, 1128014184437163, 1128014184524607, 1128014184542588, 1128014184744549, 1128014195158134, 16383
1128014195972180, 1128014195973032, 1128014196090068, 1128014196107271, 1128014196176252, 1128014201494302, 8192
1128014202282331, 1128014202283423, 1128014202360274, 1128014202377311, 1128014202561827, 1128014213038467, 16383
1128014214525191, 1128014214528061, 1128014214764411, 1128014214796077, 1128014215135573, 1128014225755526, 16383
1128014226579091, 1128014226580221, 1128014226661423, 1128014226678775, 1128014226731237, 1128014232474746, 8192
1128014232582263, 1128014232583097, 1128014232659744, 1128014232675262, 1128014232858242, 1128014238388734, 8191
1128014238515474, 1128014238516344, 1128014238646250, 1128014238665916, 1128014238743971, 1128014244851438, 8192
1128014245614078, 1128014245614911, 1128014245722688, 1128014245739336, 1128014245919297, 1128014256222290, 16383
1128014257639441, 1128014257640071, 1128014257707181, 1128014257722403, 1128014257876086, 1128014271140084, 16383
1128014272615030, 1128014272616715, 1128014272713362, 1128014272729862, 1128014272906230, 1128014284636615, 16383
1128014286037655, 1128014286038358, 1128014286080562, 1128014286093710, 1128014286221153, 1128014296376074, 16383
1128014297147084, 1128014297147936, 1128014297199731, 1128014297213268, 1128014297254545, 1128014302662651, 8192
1128014302713446, 1128014302714057, 1128014302748983, 1128014302762612, 1128014302798093, 1128014308070422, 8191
1128014308109403, 1128014308110126, 1128014308143718, 1128014308159032, 1128014308197810, 1128014313350936, 8192
1128014313382528, 1128014313383140, 1128014313411713, 1128014313426028, 1128014313459750, 1128014318642506, 8191
1128014318700338, 1128014318701042, 1128014318745412, 1128014318760189, 1128014318800967, 1128014324142999, 8192
1128014324192794, 1128014324193405, 1128014324237127, 1128014324250553, 1128014324293849, 1128014329563270, 8191
1128014329621047, 1128014329621603, 1128014329669991, 1128014329684139, 1128014329734583, 1128014335330371, 8192
1128014335381074, 1128014335381759, 1128014335419055, 1128014335432203, 1128014335471240, 1128014341365265, 8191
1128014341399284, 1128014341400024, 1128014341430487, 1128014341443857, 1128014341476579, 1128014346731130, 8192
1128014346764685, 1128014346765278, 1128014346795889, 1128014346809889, 1128014346844333, 1128014352056403, 8191
1128014352105180, 1128014352105773, 1128014352141717, 1128014352156124, 1128014352199401, 1128014357317899, 8192
1128014357359250, 1128014357359824, 1128014357392231, 1128014357406546, 1128014357439194, 1128014362605190, 8191
1128014362634338, 1128014362634949, 1128014362661504, 1128014362674819, 1128014362705115, 1128014368436309, 8192
1128014368544086, 1128014368544808, 1128014368647529, 1128014368667399, 1128014368721676, 1128014374283094, 8191
1128014374331927, 1128014374332631, 1128014374380167, 1128014374395037, 1128014374439204, 1128014380212231, 8192
1128014380265174, 1128014380265878, 1128014380318063, 1128014380333174, 1128014380387080, 1128014386283902, 8191
1128014386333587, 1128014386334198, 1128014386373271, 1128014386386586, 1128014386427104, 1128014391549379, 8192
1128014391582694, 1128014391583286, 1128014391609008, 1128014391621971, 1128014391655452, 1128014397014650, 8191
1128014397040576, 1128014397041169, 1128014397067761, 1128014397080520, 1128014397112094, 1128014402287016, 8192
1128014402336071, 1128014402336664, 1128014402371219, 1128014402385089, 1128014402421070, 1128014407641196, 8191
1128014407677436, 1128014407678047, 1128014407706825, 1128014407720232, 1128014407753361, 1128014412873507, 8192
1128014412903081, 1128014412903673, 1128014412932025, 1128014412945395, 1128014412978709, 1128014418610386, 8191
1128014418756977, 1128014418757792, 1128014418802273, 1128014418816791, 1128014418859179, 1128014424528207, 8192
1128014424563300, 1128014424563911, 1128014424593596, 1128014424607966, 1128014424642428, 1128014430543713, 8191
1128014430591879, 1128014430592583, 1128014430632990, 1128014430648156, 1128014430693952, 1128014435878060, 8192
1128014435917541, 1128014435918133, 1128014435952411, 1128014435966096, 1128014436019836, 1128014441112000, 8191
1128014441140981, 1128014441141703, 1128014441166999, 1128014441179814, 1128014441213814, 1128014446294811, 8192
1128014446324218, 1128014446324941, 1128014446349922, 1128014446362885, 1128014446393958, 1128014451811841, 8191
1128014451861433, 1128014451862026, 1128014451897229, 1128014451911136, 1128014451948062, 1128014457075392, 8192
1128014457105929, 1128014457106540, 1128014457133151, 1128014457146780, 1128014457178354, 1128014462302870, 8191
1128014462331777, 1128014462332499, 1128014462355795, 1128014462368628, 1128014462399591, 1128014467549829, 8192
1128014467592902, 1128014467593495, 1128014467624624, 1128014467638346, 1128014467676142, 1128014472837065, 8191
1128014472879490, 1128014472880064, 1128014472914194, 1128014472929027, 1128014472968545, 1128014478039839, 8192
1128014478068913, 1128014478069450, 1128014478096912, 1128014478110653, 1128014478143949, 1128014483209150, 8191
1128014483233632, 1128014483234224, 1128014483258409, 1128014483272039, 1128014483303353, 1128014488389499, 8192
1128014488419998, 1128014488420573, 1128014488444109, 1128014488457350, 1128014488486201, 1128014493558921, 8191
1128014493583088, 1128014493583680, 1128014493605310, 1128014493618328, 1128014493645328, 1128014498716826, 8192
1128014498744436, 1128014498745029, 1128014498767510, 1128014498780603, 1128014498808269, 1128014503896211, 8191
1128014503928340, 1128014503928914, 1128014503954322, 1128014503967655, 1128014503999062, 1128014509147503, 8192
1128014509184706, 1128014509185410, 1128014509213095, 1128014509227039, 1128014509263502, 1128014514336166, 8191
1128014514363851, 1128014514364444, 1128014514387184, 1128014514400166, 1128014514430369, 1128014519643606, 8192
1128014519677883, 1128014519678568, 1128014519707994, 1128014519721309, 1128014519752938, 1128014524819177, 8191
1128014524845287, 1128014524845880, 1128014524869491, 1128014524883565, 1128014524921472, 1128014530055802, 8192
1128014530088524, 1128014530089135, 1128014530117838, 1128014530131357, 1128014530167375, 1128014535244576, 8191
1128014535275817, 1128014535276391, 1128014535298724, 1128014535311853, 1128014535341353, 1128014540419740, 8192
1128014540445591, 1128014540446147, 1128014540468184, 1128014540481702, 1128014540510757, 1128014545574755, 8191
1128014545599403, 1128014545599977, 1128014545622421, 1128014545635754, 1128014545664624, 1128014550739752, 8192
1128014550764344, 1128014550764918, 1128014550786066, 1128014550798918, 1128014550824899, 1128014555886804, 8191
1128014555909045, 1128014555909656, 1128014555932822, 1128014555945970, 1128014555972766, 1128014561049134, 8192
1128014561076412, 1128014561076986, 1128014561099634, 1128014561112708, 1128014561141115, 1128014566210039, 8191
1128014566235798, 1128014566236409, 1128014566258020, 1128014566270482, 1128014566299964, 1128014571380480, 8192
1128014571405220, 1128014571405905, 1128014571428294, 1128014571441312, 1128014571468386, 1128014576548754, 8191
1128014576572976, 1128014576573587, 1128014576596680, 1128014576610365, 1128014576640124, 1128014581692899, 8192
1128014581715769, 1128014581716344, 1128014581736640, 1128014581749973, 1128014581776010, 1128014586837711, 8191
1128014586863229, 1128014586864044, 1128014586887840, 1128014586900729, 1128014586931340, 1128014592242668, 8192
1128014592266390, 1128014592267020, 1128014592289427, 1128014592302593, 1128014592329593, 1128014597388850, 8191
1128014597415443, 1128014597416035, 1128014597438942, 1128014597451979, 1128014597477775, 1128014602625513, 8192
1128014602670772, 1128014602671735, 1128014602708364, 1128014602723660, 1128014602763011, 1128014607925101, 8191
1128014618764514, 1128014618765218, 1128014618851124, 1128014618868902, 1128014618915772, 1128014624154675, 8192
1128014624208582, 1128014624209156, 1128014624249730, 1128014624263767, 1128014624306618, 1128014629558114, 8191
1128014629611613, 1128014629612206, 1128014629651539, 1128014629666464, 1128014629715390, 1128014634842313, 8192
1128014634878646, 1128014634879238, 1128014634907608, 1128014634921219, 1128014634959126, 1128014640048624, 8191
1128014640077846, 1128014640078438, 1128014640107808, 1128014640122345, 1128014640160956, 1128014645292323, 8192
1128014645323730, 1128014645324434, 1128014645352545, 1128014645366267, 1128014645399822, 1128014650464172, 8191
1128014650495449, 1128014650496023, 1128014650523875, 1128014650537690, 1128014650572430, 1128014655660891, 8192
1128014655688557, 1128014655689149, 1128014655717316, 1128014655731464, 1128014655760538, 1128014660843887, 8191
1128014660868165, 1128014660868757, 1128014660893831, 1128014660907757, 1128014660938645, 1128014666074790, 8192
1128014666111420, 1128014666111957, 1128014666145382, 1128014666159067, 1128014666194030, 1128014671379397, 8191
1128014671410563, 1128014671411156, 1128014671440915, 1128014671455044, 1128014671492932, 1128014676573393, 8192
1128014676599559, 1128014676600152, 1128014676623337, 1128014676636170, 1128014676666003, 1128014681814278, 8191
1128014681863629, 1128014681864388, 1128014681900999, 1128014681914888, 1128014681960832, 1128014687168235, 8192
1128014687217735, 1128014687218513, 1128014687261938, 1128014687278086, 1128014687324197, 1128014692545359, 8191
1128014692598488, 1128014692599266, 1128014692629729, 1128014692643803, 1128014692686784, 1128014697782226, 8192
1128014697809096, 1128014697809707, 1128014697833021, 1128014697846058, 1128014697877669, 1128014702948704, 8191
