Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
2482625070170670, 2482625070171522, 2482625070269928, 2482625070287114, 2482625070348113, 2482625148592462, 8192
2482625148885626, 2482625148887478, 2482625148962070, 2482625149017865, 2482625149160883, 2482625220462106, 8191
2482626704837062, 2482626704841581, 2482626705095227, 2482626705156948, 2482626705285521, 2482626784900358, 8192
2482626785170411, 2482626785172467, 2482626785239929, 2482626785315780, 2482626785520964, 2482626864889969, 8191
2482628344673162, 2482628344675310, 2482628344834623, 2482628344890234, 2482628345026900, 2482628408107692, 8192
2482628412113325, 2482628412115584, 2482628412215713, 2482628412295268, 2482628412429118, 2482628478595181, 8191
2482629981061229, 2482629981063155, 2482629981243153, 2482629981300949, 2482629981446133, 2482630044768627, 8192
2482630045036680, 2482630045038791, 2482630045110661, 2482630045193475, 2482630045390751, 2482630111898422, 8191
2482630800182168, 2482630800184131, 2482630800364593, 2482630800444722, 2482630800564424, 2482630863442441, 8192
2482631619255255, 2482631619257107, 2482631619428698, 2482631619507531, 2482631619597252, 2482631686093293, 8191
2482632437094369, 2482632437095183, 2482632437188201, 2482632437208331, 2482632437268700, 2482632499292002, 8192
2482633256165488, 2482633256166174, 2482633256272358, 2482633256293284, 2482633256353857, 2482633322689492, 8191
2482634080067343, 2482634080068158, 2482634080184824, 2482634080206157, 2482634080286360, 2482634142420678, 8192
2482634894703442, 2482634894704183, 2482634894808793, 2482634894829534, 2482634894900089, 2482634962339676, 8191
2482635714247387, 2482635714248312, 2482635714354719, 2482635714374811, 2482635714443348, 2482635776655091, 8192
2482636536746674, 2482636536748915, 2482636536952672, 2482636537037727, 2482636537140671, 2482636603749654, 8191
2482637353543786, 2482637353545860, 2482637353730099, 2482637353788192, 2482637353909487, 2482637416518653, 8192
2482638172592155, 2482638172594026, 2482638172769895, 2482638172828061, 2482638172968208, 2482638238933641, 8191
2482638991804077, 2482638991806114, 2482638991984761, 2482638992223722, 2482638992444868, 2482639054148671, 8192
2482639809350271, 2482639809350974, 2482639809459418, 2482639809479307, 2482639809547769, 2482639875157297, 8191
